Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2020-12-23,25-086,CHO,@,CLE,L (-7),0,21:01,2,3,.667,0,0,,1,1,1.000,1,4,5,4,0,0,0,1,5,8.0,+2
2,2,2020-12-26,25-089,CHO,,OKC,L (-2),0,16:11,0,0,,0,0,,0,0,,1,2,3,1,0,0,0,1,0,1.6,+3
3,3,2020-12-27,25-090,CHO,,BRK,W (+2),0,17:43,2,6,.333,0,3,.000,0,0,,2,4,6,4,0,0,1,1,4,4.6,+5
4,4,2020-12-30,25-093,CHO,@,DAL,W (+19),0,7:36,2,2,1.000,0,0,,0,0,,0,0,0,0,1,0,1,1,4,3.0,0
5,5,2021-01-01,25-095,CHO,,MEM,L (-15),0,15:13,2,4,.500,0,1,.000,0,1,.000,0,1,1,1,1,0,0,0,4,3.6,+7
6,,2021-01-02,25-096,CHO,@,PHI,L (-15),,,,,,,,,,,,,,,,,,,,,,
7,,2021-01-04,25-098,CHO,@,PHI,L (-17),,,,,,,,,,,,,,,,,,,,,,
8,6,2021-01-06,25-100,CHO,@,ATL,W (+8),0,11:01,0,2,.000,0,1,.000,2,2,1.000,0,2,2,0,0,0,0,0,2,1.2,-11
9,7,2021-01-08,25-102,CHO,@,NOP,W (+8),0,8:35,1,2,.500,0,1,.000,2,2,1.000,0,1,1,2,1,0,1,1,4,4.3,-1
10,8,2021-01-09,25-103,CHO,,ATL,W (+8),0,5:10,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,1,0,2,0,3,1.7,-1
11,9,2021-01-11,25-105,CHO,,NYK,W (+21),0,6:20,1,3,.333,0,2,.000,1,1,1.000,1,1,2,1,0,0,1,1,3,1.6,+2
12,10,2021-01-13,25-107,CHO,,DAL,L (-11),0,11:06,4,5,.800,1,1,1.000,0,1,.000,3,1,4,1,1,0,0,0,9,10.8,+8
13,11,2021-01-14,25-108,CHO,@,TOR,L (-3),0,5:32,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-15
14,,2021-01-16,25-110,CHO,@,TOR,L (-3),,,,,,,,,,,,,,,,,,,,,,
15,,2021-01-22,25-116,CHO,,CHI,L (-13),,,,,,,,,,,,,,,,,,,,,,
16,,2021-01-24,25-118,CHO,@,ORL,W (+3),,,,,,,,,,,,,,,,,,,,,,
17,,2021-01-25,25-119,CHO,@,ORL,L (-9),,,,,,,,,,,,,,,,,,,,,,
18,,2021-01-27,25-121,CHO,,IND,L (-10),,,,,,,,,,,,,,,,,,,,,,
19,,2021-01-29,25-123,CHO,,IND,W (+3),,,,,,,,,,,,,,,,,,,,,,
20,12,2021-01-30,25-124,CHO,,MIL,W (+12),0,1:12,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,0,0,0.6,+2
21,,2021-02-01,25-126,CHO,@,MIA,W (+8),,,,,,,,,,,,,,,,,,,,,,
22,13,2021-02-03,25-128,CHO,,PHI,L (-7),0,4:02,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-11
23,14,2021-02-05,25-130,CHO,,UTA,L (-17),0,4:48,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-11
24,15,2021-02-07,25-132,CHO,,WAS,W (+22),0,8:28,0,3,.000,0,1,.000,2,2,1.000,0,1,1,0,0,0,1,0,2,-0.8,-6
25,16,2021-02-08,25-133,CHO,,HOU,W (+25),0,3:27,1,2,.500,0,0,,0,0,,1,3,4,0,0,0,1,0,2,1.6,+3
26,17,2021-02-10,25-135,CHO,@,MEM,L (-16),0,12:00,4,4,1.000,1,1,1.000,0,0,,1,1,2,2,2,0,1,1,9,10.8,+2
27,,2021-02-12,25-137,CHO,,MIN,W (+6),,,,,,,,,,,,,,,,,,,,,,
28,,2021-02-14,25-139,CHO,,SAS,L (-12),,,,,,,,,,,,,,,,,,,,,,
29,,2021-02-20,25-145,CHO,,GSW,W (+2),,,,,,,,,,,,,,,,,,,,,,
30,18,2021-02-22,25-147,CHO,@,UTA,L (-22),0,3:02,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3
31,19,2021-02-24,25-149,CHO,@,PHO,W (+3),0,0:21,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1
32,20,2021-02-26,25-151,CHO,@,GSW,L (-9),1,24:58,4,8,.500,0,2,.000,0,0,,2,3,5,2,1,0,2,2,8,5.9,+6
33,21,2021-02-28,25-153,CHO,@,SAC,W (+1),0,27:15,4,5,.800,1,2,.500,0,0,,1,0,1,3,1,1,3,1,9,8.2,+9
34,22,2021-03-01,25-154,CHO,@,POR,L (-12),1,26:50,4,9,.444,0,2,.000,0,0,,4,5,9,2,2,0,1,1,8,9.6,+1
35,23,2021-03-03,25-156,CHO,@,MIN,W (+33),0,25:48,1,4,.250,0,1,.000,0,0,,2,3,5,1,1,3,0,0,2,5.7,+12
36,24,2021-03-11,25-164,CHO,,DET,W (+3),0,10:04,2,3,.667,1,1,1.000,0,0,,1,1,2,0,0,0,0,3,5,3.5,-3
37,25,2021-03-13,25-166,CHO,,TOR,W (+10),0,13:55,1,3,.333,1,3,.333,0,0,,1,2,3,3,0,0,0,0,3,4.7,-1
38,26,2021-03-15,25-168,CHO,,SAC,W (+6),0,15:41,4,4,1.000,0,0,,1,1,1.000,1,1,2,0,0,0,0,2,9,8.0,+1
39,27,2021-03-17,25-170,CHO,@,DEN,L (-25),0,19:08,1,3,.333,0,1,.000,2,4,.500,2,2,4,4,0,0,2,2,4,3.5,-8
40,28,2021-03-18,25-171,CHO,@,LAL,L (-11),0,7:07,2,2,1.000,1,1,1.000,0,0,,0,0,0,0,1,0,0,1,5,5.0,+2
41,29,2021-03-20,25-173,CHO,@,LAC,L (-27),0,29:42,2,7,.286,0,2,.000,1,2,.500,2,3,5,4,2,0,0,2,5,6.8,0
42,30,2021-03-22,25-175,CHO,@,SAS,W (+3),0,16:18,2,3,.667,1,1,1.000,1,1,1.000,1,2,3,1,0,1,0,1,6,7.0,-11
43,31,2021-03-24,25-177,CHO,@,HOU,W (+25),0,32:06,3,12,.250,1,3,.333,1,2,.500,1,5,6,2,0,0,2,2,8,1.2,+29
44,32,2021-03-26,25-179,CHO,,MIA,W (+5),0,15:03,0,1,.000,0,1,.000,0,0,,0,2,2,4,0,0,1,2,0,0.9,+5
45,33,2021-03-28,25-181,CHO,,PHO,L (-4),0,26:15,3,6,.500,0,0,,2,4,.500,2,4,6,4,2,1,1,1,8,10.9,-7
46,34,2021-03-30,25-183,CHO,@,WAS,W (+10),0,20:35,1,3,.333,0,1,.000,0,0,,0,2,2,2,2,0,1,2,2,2.5,+8
47,35,2021-04-01,25-185,CHO,@,BRK,L (-22),0,18:22,1,7,.143,1,3,.333,0,0,,1,1,2,3,3,0,0,1,3,4.2,-6
48,36,2021-04-02,25-186,CHO,@,IND,W (+17),0,19:00,0,1,.000,0,0,,0,2,.000,0,2,2,3,0,0,0,1,0,0.8,-13
49,37,2021-04-04,25-188,CHO,@,BOS,L (-30),0,17:24,2,6,.333,1,2,.500,1,2,.500,1,1,2,0,0,0,0,0,6,3.2,-24
50,38,2021-04-07,25-191,CHO,@,OKC,W (+11),0,15:46,1,4,.250,0,1,.000,1,2,.500,0,0,0,1,0,1,0,0,3,1.6,+10
51,39,2021-04-09,25-193,CHO,@,MIL,W (+8),0,12:31,1,4,.250,1,3,.333,0,0,,0,4,4,0,0,1,2,0,3,0.5,-7
52,40,2021-04-11,25-195,CHO,,ATL,L (-4),0,8:36,1,2,.500,0,0,,0,0,,0,2,2,0,0,0,1,0,2,0.6,+1
53,41,2021-04-13,25-197,CHO,,LAL,L (-8),0,20:40,3,6,.500,0,3,.000,0,2,.000,1,2,3,1,0,0,2,2,6,1.4,-16
54,42,2021-04-14,25-198,CHO,,CLE,L (-13),0,7:32,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,-9
55,43,2021-04-16,25-200,CHO,@,BRK,L (-15),1,35:02,2,6,.333,0,1,.000,2,3,.667,3,2,5,5,2,1,3,1,6,7.7,-2
56,44,2021-04-18,25-202,CHO,,POR,W (+8),1,38:03,2,5,.400,1,2,.500,0,0,,2,5,7,7,1,0,1,1,5,9.7,+11
57,45,2021-04-20,25-204,CHO,@,NYK,L (-12),0,24:17,2,4,.500,0,0,,0,0,,3,3,6,3,1,0,1,1,4,6.7,+10
58,46,2021-04-22,25-206,CHO,@,CHI,L (-17),0,18:16,1,1,1.000,0,0,,0,0,,0,3,3,2,0,0,0,2,2,3.2,-4
59,47,2021-04-23,25-207,CHO,,CLE,W (+6),1,23:51,2,4,.500,0,0,,2,2,1.000,2,1,3,0,1,0,1,2,6,4.9,-9
60,48,2021-04-25,25-209,CHO,,BOS,W (+21),1,31:01,5,9,.556,1,2,.500,2,2,1.000,1,9,10,5,1,2,1,1,13,16.6,+29
61,49,2021-04-27,25-211,CHO,,MIL,L (-10),1,30:30,4,9,.444,1,3,.333,1,2,.500,2,6,8,1,4,0,3,3,10,8.6,-5
