Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2022-10-19,19-345,CHO,@,SAS,W (+27),0,4:20,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,1,0,0,0,0.0,-7
2,,2022-10-21,19-347,CHO,,NOP,L (-12),,,,,,,,,,,,,,,,,,,,,,
3,2,2022-10-23,19-349,CHO,@,ATL,W (+17),0,2:38,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,-5
4,3,2022-10-26,19-352,CHO,@,NYK,L (-3),0,0:38,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
5,4,2022-10-28,19-354,CHO,@,ORL,L (-20),0,5:19,1,2,.500,0,0,,0,0,,0,1,1,1,1,0,0,0,2,3.0,+9
6,,2022-10-29,19-355,CHO,,GSW,W (+7),,,,,,,,,,,,,,,,,,,,,,
7,,2022-10-31,19-357,CHO,,SAC,L (-7),,,,,,,,,,,,,,,,,,,,,,
8,,2022-11-02,19-359,CHO,@,CHI,L (-18),,,,,,,,,,,,,,,,,,,,,,
9,5,2022-11-04,19-361,CHO,@,MEM,L (-31),0,16:52,3,5,.600,1,2,.500,5,5,1.000,0,1,1,0,1,0,1,1,12,9.6,+9
10,,2022-11-05,19-362,CHO,,BRK,L (-4),,,,,,,,,,,,,,,,,,,,,,
11,,2022-11-07,19-364,CHO,,WAS,L (-8),,,,,,,,,,,,,,,,,,,,,,
12,,2022-11-09,20-001,CHO,,POR,L (-10),,,,,,,,,,,,,,,,,,,,,,
13,,2022-11-10,20-002,CHO,@,MIA,L (-5),,,,,,,,,,,,,,,,,,,,,,
14,,2022-11-12,20-004,CHO,@,MIA,L (-17),,,,,,,,,,,,,,,,,,,,,,
15,,2022-11-14,20-006,CHO,@,ORL,W (+7),,,,,,,,,,,,,,,,,,,,,,
16,,2022-11-16,20-008,CHO,,IND,L (-12),,,,,,,,,,,,,,,,,,,,,,
17,,2022-11-18,20-010,CHO,@,CLE,L (-10),,,,,,,,,,,,,,,,,,,,,,
18,,2022-11-20,20-012,CHO,@,WAS,L (-4),,,,,,,,,,,,,,,,,,,,,,
19,,2022-11-23,20-015,CHO,,PHI,W (+6),,,,,,,,,,,,,,,,,,,,,,
20,,2022-11-25,20-017,CHO,,MIN,W (+2),,,,,,,,,,,,,,,,,,,,,,
21,6,2022-11-28,20-020,CHO,@,BOS,L (-35),0,24:28,3,7,.429,2,4,.500,2,2,1.000,0,2,2,6,0,1,1,1,10,10.4,+6
22,7,2022-12-02,20-024,CHO,,WAS,W (+1),0,20:19,1,4,.250,1,1,1.000,1,2,.500,1,1,2,1,0,1,1,0,4,2.6,+6
23,8,2022-12-03,20-025,CHO,,MIL,L (-9),0,17:32,1,3,.333,0,1,.000,0,0,,1,3,4,0,0,0,0,0,2,1.9,-9
24,9,2022-12-05,20-027,CHO,,LAC,L (-2),0,16:48,3,5,.600,0,0,,0,0,,0,1,1,0,1,1,0,2,6,4.9,-19
25,10,2022-12-07,20-029,CHO,@,BRK,L (-6),0,19:59,1,3,.333,1,2,.500,0,0,,0,0,0,2,0,0,0,1,3,2.3,-6
26,11,2022-12-09,20-031,CHO,,NYK,L (-19),0,30:03,3,9,.333,1,3,.333,3,3,1.000,1,4,5,1,0,0,1,2,10,5.7,-21
27,12,2022-12-11,20-033,CHO,@,PHI,L (-18),0,23:20,1,3,.333,0,2,.000,0,0,,0,1,1,2,1,0,2,0,2,1.0,-6
28,,2022-12-14,20-036,CHO,,DET,L (-7),,,,,,,,,,,,,,,,,,,,,,
29,13,2022-12-16,20-038,CHO,,ATL,L (-19),0,3:47,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-1.1,+4
30,,2022-12-18,20-040,CHO,@,DEN,L (-4),,,,,,,,,,,,,,,,,,,,,,
31,,2022-12-19,20-041,CHO,@,SAC,W (+6),,,,,,,,,,,,,,,,,,,,,,
32,,2022-12-21,20-043,CHO,@,LAC,L (-21),,,,,,,,,,,,,,,,,,,,,,
33,,2022-12-23,20-045,CHO,@,LAL,W (+4),,,,,,,,,,,,,,,,,,,,,,
34,,2022-12-26,20-048,CHO,@,POR,L (-11),,,,,,,,,,,,,,,,,,,,,,
35,,2022-12-27,20-049,CHO,@,GSW,L (-5),,,,,,,,,,,,,,,,,,,,,,
36,,2022-12-29,20-051,CHO,,OKC,W (+8),,,,,,,,,,,,,,,,,,,,,,
37,,2022-12-31,20-053,CHO,,BRK,L (-17),,,,,,,,,,,,,,,,,,,,,,
38,,2023-01-02,20-055,CHO,,LAL,L (-6),,,,,,,,,,,,,,,,,,,,,,
39,14,2023-01-04,20-057,CHO,,MEM,L (-24),0,4:41,1,2,.500,0,0,,1,2,.500,0,0,0,1,0,0,1,0,3,1.3,+2
40,15,2023-01-06,20-059,CHO,@,MIL,W (+29),0,2:28,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+3
41,,2023-01-08,20-061,CHO,@,IND,L (-5),,,,,,,,,,,,,,,,,,,,,,
42,,2023-01-10,20-063,CHO,@,TOR,L (-12),,,,,,,,,,,,,,,,,,,,,,
43,16,2023-01-12,20-065,CHO,@,TOR,L (-10),0,0:07,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
44,17,2023-01-14,20-067,CHO,,BOS,L (-16),0,1:44,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,0
45,18,2023-01-16,20-069,CHO,,BOS,L (-12),0,12:35,0,1,.000,0,0,,0,0,,0,3,3,0,0,0,0,1,0,-0.2,+1
46,19,2023-01-18,20-071,CHO,@,HOU,W (+5),0,21:25,3,4,.750,2,3,.667,2,3,.667,2,2,4,3,0,0,1,3,10,9.9,+13
