Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2021-10-20,25-031,SAS,,ORL,W (+26),1,30:53,6,17,.353,0,4,.000,3,3,1.000,0,6,6,8,4,0,3,3,15,12.7,+13
2,2,2021-10-22,25-033,SAS,@,DEN,L (-6),1,34:53,7,18,.389,1,4,.250,0,0,,1,8,9,6,2,0,4,4,15,8.9,+2
3,3,2021-10-23,25-034,SAS,,MIL,L (-10),1,34:25,5,14,.357,0,2,.000,0,0,,0,9,9,7,1,0,0,2,10,10.0,-10
4,4,2021-10-26,25-037,SAS,,LAL,L (-4),1,40:10,9,24,.375,2,4,.500,1,4,.250,2,10,12,15,2,2,2,3,21,21.7,+9
5,5,2021-10-28,25-039,SAS,@,DAL,L (-5),1,35:36,10,17,.588,3,5,.600,0,0,,2,8,10,8,1,0,2,1,23,23.1,+16
6,6,2021-10-30,25-041,SAS,@,MIL,W (+9),1,36:40,9,17,.529,1,3,.333,4,5,.800,0,5,5,9,3,0,2,1,23,22.7,+7
7,7,2021-11-01,25-043,SAS,@,IND,L (-13),1,26:16,6,10,.600,3,5,.600,1,2,.500,0,2,2,6,1,0,0,1,16,16.4,-19
8,8,2021-11-03,25-045,SAS,,DAL,L (-1),1,34:26,8,18,.444,2,7,.286,5,6,.833,0,9,9,8,2,1,3,4,23,19.6,-8
9,9,2021-11-05,25-047,SAS,@,ORL,W (+13),1,36:00,9,16,.563,1,2,.500,1,1,1.000,0,11,11,7,3,1,3,1,20,20.9,+14
10,10,2021-11-07,25-049,SAS,@,OKC,L (-5),1,35:28,5,19,.263,0,4,.000,0,0,,1,7,8,9,3,1,3,2,10,7.7,-11
11,11,2021-11-10,25-052,SAS,,SAC,W (+19),1,32:00,11,21,.524,2,5,.400,2,2,1.000,0,6,6,7,2,0,1,3,26,22.2,+30
12,12,2021-11-12,25-054,SAS,,DAL,L (-14),1,31:16,7,14,.500,0,2,.000,1,2,.500,0,5,5,4,0,0,3,1,15,8.5,-20
13,13,2021-11-14,25-056,SAS,@,LAL,L (-8),1,38:12,9,20,.450,2,5,.400,2,4,.500,1,9,10,10,3,1,3,1,22,21.5,+9
14,14,2021-11-16,25-058,SAS,@,LAC,L (-14),1,38:32,12,21,.571,1,2,.500,1,2,.500,2,10,12,9,3,0,4,1,26,25.0,-2
15,15,2021-11-18,25-060,SAS,@,MIN,L (-25),1,32:01,2,12,.167,0,4,.000,3,4,.750,2,6,8,4,0,1,3,3,7,1.5,-22
16,16,2021-11-22,25-064,SAS,,PHO,L (-4),1,37:21,9,22,.409,0,3,.000,0,1,.000,0,10,10,11,3,1,1,2,18,18.4,+2
17,17,2021-11-24,25-066,SAS,,ATL,L (-18),1,33:47,9,20,.450,4,7,.571,0,0,,2,6,8,11,2,0,3,1,22,21.1,-14
18,18,2021-11-26,25-068,SAS,,BOS,W (+8),1,37:43,12,24,.500,0,2,.000,5,7,.714,1,10,11,6,3,1,3,2,29,24.0,+8
19,19,2021-11-29,25-071,SAS,,WAS,W (+17),1,34:07,8,19,.421,0,2,.000,6,7,.857,2,8,10,8,0,0,1,1,22,19.5,+20
20,20,2021-12-02,25-074,SAS,@,POR,W (+31),1,34:30,6,16,.375,3,7,.429,0,0,,0,7,7,13,2,0,2,3,15,16.2,+24
21,21,2021-12-04,25-076,SAS,@,GSW,W (+5),1,36:36,10,21,.476,3,7,.429,0,0,,5,7,12,7,2,0,4,4,23,19.2,+7
22,22,2021-12-06,25-078,SAS,@,PHO,L (-4),1,33:49,7,12,.583,2,2,1.000,1,2,.500,1,5,6,14,2,0,4,2,17,20.2,-10
23,23,2021-12-07,25-079,SAS,,NYK,L (-12),1,34:52,6,15,.400,2,5,.400,1,1,1.000,0,7,7,7,1,0,0,1,15,14.5,-9
24,24,2021-12-09,25-081,SAS,,DEN,W (+12),1,34:59,7,16,.438,3,8,.375,3,4,.750,3,5,8,9,1,0,5,3,20,15.9,+9
25,25,2021-12-11,25-083,SAS,,DEN,L (-15),1,22:48,3,9,.333,0,1,.000,0,0,,0,5,5,4,2,1,5,2,6,2.1,-35
26,26,2021-12-12,25-084,SAS,,NOP,W (+15),1,33:44,5,13,.385,0,2,.000,0,0,,1,11,12,10,3,0,1,2,10,15.1,+9
27,27,2021-12-15,25-087,SAS,,CHO,L (-16),1,34:57,4,11,.364,2,5,.400,0,0,,1,5,6,9,1,0,1,1,10,12.0,-8
28,28,2021-12-17,25-089,SAS,@,UTA,W (+2),1,36:35,6,16,.375,1,6,.167,3,6,.500,4,7,11,11,2,1,2,1,16,18.9,+10
29,29,2021-12-19,25-091,SAS,@,SAC,L (-7),1,35:11,11,17,.647,0,0,,3,4,.750,0,7,7,9,1,0,2,2,25,23.7,-9
30,30,2021-12-20,25-092,SAS,@,LAC,W (+24),1,31:13,10,22,.455,4,6,.667,0,0,,3,8,11,13,5,0,2,2,24,28.4,+16
31,31,2021-12-23,25-095,SAS,@,LAL,W (+28),1,32:21,3,16,.188,1,5,.200,2,2,1.000,2,4,6,13,2,2,0,1,9,13.7,+11
32,,2021-12-26,25-098,SAS,,DET,W (+35),,,,,,,,,,,,,,,,,,,,,,
33,,2021-12-27,25-099,SAS,,UTA,L (-6),,,,,,,,,,,,,,,,,,,,,,
34,,2021-12-31,25-103,SAS,@,MEM,L (-13),,,,,,,,,,,,,,,,,,,,,,
35,,2022-01-01,25-104,SAS,@,DET,L (-1),,,,,,,,,,,,,,,,,,,,,,
36,,2022-01-04,25-107,SAS,@,TOR,L (-25),,,,,,,,,,,,,,,,,,,,,,
37,32,2022-01-05,25-108,SAS,@,BOS,W (+2),1,32:51,11,21,.524,0,2,.000,0,0,,2,7,9,12,3,0,4,1,22,22.2,+2
38,33,2022-01-07,25-110,SAS,@,PHI,L (-19),1,35:35,10,23,.435,3,6,.500,4,5,.800,1,4,5,9,3,1,6,3,27,19.2,-16
39,34,2022-01-09,25-112,SAS,@,BRK,L (-2),1,39:31,7,22,.318,1,6,.167,4,4,1.000,0,9,9,12,2,1,3,2,19,16.4,-4
