Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,2022-10-19,22-061,SAC,,POR,L (-7),,,,,,,,,,,,,,,,,,,,,,
2,1,2022-10-22,22-064,SAC,,LAC,L (-2),0,32:48,7,10,.700,3,6,.500,2,2,1.000,1,4,5,2,0,2,2,3,19,16.3,-4
3,2,2022-10-23,22-065,SAC,@,GSW,L (-5),0,38:26,6,14,.429,4,10,.400,0,0,,1,3,4,0,1,0,2,2,16,8.4,+2
4,3,2022-10-27,22-069,SAC,,MEM,L (-15),1,39:13,7,15,.467,3,8,.375,1,1,1.000,3,3,6,0,0,0,2,1,18,10.9,-10
5,4,2022-10-29,22-071,SAC,,MIA,W (+6),1,35:48,8,13,.615,3,7,.429,3,4,.750,0,1,1,3,0,2,5,4,22,12.9,+2
6,5,2022-10-31,22-073,SAC,@,CHO,W (+7),1,31:56,5,15,.333,2,7,.286,0,0,,1,3,4,2,1,1,1,1,12,6.8,+15
7,6,2022-11-02,22-075,SAC,@,MIA,L (-3),1,27:16,3,7,.429,1,5,.200,0,0,,0,4,4,3,1,2,2,1,7,6.6,+7
8,7,2022-11-05,22-078,SAC,@,ORL,W (+3),1,24:16,1,6,.167,1,4,.250,0,0,,0,2,2,0,1,0,1,1,3,-0.6,-12
9,8,2022-11-07,22-080,SAC,@,GSW,L (-3),1,26:58,2,7,.286,1,4,.250,1,2,.500,2,5,7,2,2,0,0,4,6,6.2,-4
10,9,2022-11-09,22-082,SAC,,CLE,W (+7),1,32:56,5,10,.500,4,7,.571,0,0,,0,3,3,1,2,1,1,4,14,10.7,-7
11,10,2022-11-11,22-084,SAC,@,LAL,W (+6),1,25:41,1,4,.250,0,3,.000,0,0,,0,1,1,0,1,1,1,3,2,-0.6,+15
12,11,2022-11-13,22-086,SAC,,GSW,W (+7),1,36:36,8,15,.533,5,9,.556,0,0,,0,4,4,0,3,0,2,4,21,14.3,+16
13,12,2022-11-15,22-088,SAC,,BRK,W (+32),1,12:18,2,6,.333,0,2,.000,0,0,,0,3,3,0,0,0,0,0,4,1.5,+3
14,,2022-11-17,22-090,SAC,,SAS,W (+18),,,,,,,,,,,,,,,,,,,,,,
15,13,2022-11-20,22-093,SAC,,DET,W (+8),1,34:41,4,10,.400,1,6,.167,4,5,.800,0,2,2,1,0,0,2,0,13,6.5,+9
16,14,2022-11-22,22-095,SAC,@,MEM,W (+4),1,23:43,1,8,.125,0,4,.000,0,0,,1,2,3,2,0,0,0,2,2,-1.3,+2
17,15,2022-11-23,22-096,SAC,@,ATL,L (-9),1,20:49,0,5,.000,0,3,.000,4,4,1.000,1,3,4,0,0,0,2,2,4,-0.7,0
18,16,2022-11-25,22-098,SAC,@,BOS,L (-18),1,22:43,1,8,.125,1,6,.167,0,0,,3,7,10,0,1,1,1,2,3,1.9,-14
19,17,2022-11-28,22-101,SAC,,PHO,L (-5),1,22:46,5,11,.455,1,1,1.000,0,0,,1,1,2,1,0,1,3,2,11,3.9,-11
20,18,2022-11-30,22-103,SAC,,IND,W (+23),1,26:17,4,12,.333,2,9,.222,4,4,1.000,2,4,6,0,0,0,3,2,14,6.0,+7
21,19,2022-12-03,22-106,SAC,@,LAC,W (+27),1,28:02,8,15,.533,3,8,.375,4,5,.800,1,6,7,1,2,0,1,2,23,18.7,+25
22,20,2022-12-04,22-107,SAC,,CHI,W (+9),1,23:52,4,7,.571,3,5,.600,0,0,,1,3,4,0,0,1,0,1,11,9.6,0
23,21,2022-12-07,22-110,SAC,@,MIL,L (-13),1,27:07,6,10,.600,3,6,.500,0,0,,1,3,4,1,1,2,0,2,15,14.3,-16
24,22,2022-12-09,22-112,SAC,@,CLE,W (+11),1,30:29,6,8,.750,6,8,.750,0,0,,0,2,2,0,1,1,0,4,18,15.5,+26
25,23,2022-12-11,22-114,SAC,@,NYK,L (-13),1,34:54,6,15,.400,3,8,.375,3,4,.750,2,5,7,0,0,0,1,3,18,10.2,0
26,24,2022-12-13,22-116,SAC,@,PHI,L (-20),1,20:44,1,5,.200,1,4,.250,0,0,,0,2,2,1,1,1,1,3,3,0.7,-13
27,25,2022-12-14,22-117,SAC,@,TOR,W (+1),1,32:23,4,12,.333,2,8,.250,0,0,,1,3,4,0,1,1,0,1,10,6.1,+1
28,26,2022-12-16,22-119,SAC,@,DET,W (+9),1,35:01,7,13,.538,4,6,.667,2,2,1.000,0,2,2,0,0,0,1,2,20,12.5,+15
29,27,2022-12-19,22-122,SAC,,CHO,L (-6),1,31:02,4,9,.444,3,5,.600,0,2,.000,0,1,1,0,1,1,0,4,11,5.9,+8
30,28,2022-12-21,22-124,SAC,,LAL,W (+14),1,34:45,7,17,.412,6,12,.500,3,4,.750,0,3,3,1,1,0,1,2,23,14.3,+24
31,29,2022-12-23,22-126,SAC,,WAS,L (-14),1,22:26,1,8,.125,1,4,.250,0,0,,2,2,4,1,1,0,0,1,3,1.1,-14
32,30,2022-12-27,22-130,SAC,,DEN,L (-7),1,31:19,4,6,.667,2,4,.500,1,2,.500,0,2,2,1,2,1,0,0,11,12.0,+2
33,31,2022-12-28,22-131,SAC,,DEN,W (+1),1,20:35,2,7,.286,1,5,.200,0,0,,1,1,2,1,0,0,0,0,5,2.6,-6
34,32,2022-12-30,22-133,SAC,,UTA,W (+1),1,27:22,3,5,.600,1,1,1.000,0,1,.000,1,4,5,2,2,0,0,1,7,9.2,-2
35,33,2023-01-01,22-135,SAC,@,MEM,L (-10),1,27:44,4,12,.333,2,6,.333,0,0,,3,0,3,1,2,0,0,2,10,7.2,-4
36,34,2023-01-03,22-137,SAC,@,UTA,W (+2),1,37:21,6,12,.500,3,7,.429,1,1,1.000,2,3,5,1,0,1,1,3,16,11.5,+19
37,35,2023-01-04,22-138,SAC,,ATL,L (-3),1,26:25,3,7,.429,2,3,.667,0,0,,3,4,7,1,1,2,0,3,8,9.5,+2
38,36,2023-01-07,22-141,SAC,,LAL,L (-2),1,29:25,6,8,.750,4,5,.800,0,0,,0,0,0,1,2,0,1,2,16,13.7,-5
39,37,2023-01-09,22-143,SAC,,ORL,W (+25),1,26:15,5,7,.714,5,6,.833,0,0,,1,2,3,3,1,0,0,2,15,15.7,+12
40,38,2023-01-11,22-145,SAC,,HOU,W (+20),1,34:08,5,14,.357,4,11,.364,2,2,1.000,1,5,6,2,0,0,0,3,16,10.6,+5
41,39,2023-01-13,22-147,SAC,,HOU,W (+25),1,20:02,3,8,.375,1,5,.200,1,1,1.000,1,2,3,1,1,1,2,5,8,3.3,-4
42,40,2023-01-15,22-149,SAC,@,SAS,W (+13),1,27:44,4,9,.444,3,7,.429,1,2,.500,1,4,5,2,1,0,0,1,12,10.8,+7
43,41,2023-01-18,22-152,SAC,@,LAL,W (+5),1,36:49,3,6,.500,2,4,.500,2,2,1.000,3,7,10,0,0,0,0,3,10,10.0,-1
44,42,2023-01-20,22-154,SAC,,OKC,W (+5),1,37:20,10,12,.833,5,7,.714,4,4,1.000,3,11,14,1,0,0,2,1,29,28.3,+10
45,43,2023-01-21,22-155,SAC,,PHI,L (-2),1,41:26,4,9,.444,3,8,.375,2,2,1.000,1,3,4,1,0,1,0,2,13,10.5,-3
46,44,2023-01-23,22-157,SAC,,MEM,W (+33),1,33:55,7,11,.636,5,7,.714,1,1,1.000,1,8,9,0,0,1,1,0,20,17.9,+19
47,45,2023-01-25,22-159,SAC,,TOR,L (-18),1,33:16,6,10,.600,4,7,.571,0,0,,0,3,3,4,0,0,0,2,16,14.3,-11
48,46,2023-01-28,22-162,SAC,@,MIN,L (-7),1,32:17,3,8,.375,2,6,.333,0,0,,2,2,4,0,0,0,0,4,8,4.0,-2
49,47,2023-01-30,22-164,SAC,@,MIN,W (+7),1,38:33,5,12,.417,3,8,.375,0,0,,6,7,13,1,1,0,0,1,13,14.2,+1
50,48,2023-02-01,22-166,SAC,@,SAS,W (+10),1,27:17,0,8,.000,0,6,.000,2,4,.500,1,6,7,2,0,0,0,2,2,-1.3,+5
51,49,2023-02-03,22-168,SAC,@,IND,L (-3),1,24:40,1,6,.167,1,4,.250,0,0,,0,7,7,1,0,1,2,1,3,0.3,-8
52,50,2023-02-05,22-170,SAC,@,NOP,L (-32),1,25:48,1,7,.143,0,6,.000,0,0,,1,3,4,1,0,0,2,0,2,-2.2,-33
53,51,2023-02-06,22-171,SAC,@,HOU,W (+20),1,32:33,11,17,.647,8,12,.667,0,0,,0,6,6,1,2,0,1,2,30,25.2,+11
54,52,2023-02-08,22-173,SAC,@,HOU,W (+2),1,32:18,4,9,.444,2,4,.500,0,0,,3,3,6,0,2,0,1,0,10,9.3,+7
55,53,2023-02-10,22-175,SAC,,DAL,L (-8),1,35:21,6,10,.600,4,5,.800,0,0,,0,3,3,0,0,2,1,0,16,12.7,+4
56,54,2023-02-11,22-176,SAC,,DAL,W (+5),1,28:20,1,5,.200,1,5,.200,2,2,1.000,1,5,6,3,1,0,0,0,5,7.2,-6
57,55,2023-02-14,22-179,SAC,@,PHO,L (-11),1,20:30,2,7,.286,2,6,.333,0,0,,1,4,5,6,0,1,0,2,6,7.9,-16
58,56,2023-02-23,22-188,SAC,,POR,W (+17),1,25:20,4,7,.571,2,5,.400,0,0,,1,1,2,1,0,2,0,1,10,9.4,0
59,57,2023-02-24,22-189,SAC,@,LAC,W (+1),1,42:49,7,12,.583,1,4,.250,0,0,,0,3,3,2,2,1,0,1,15,14.0,+12
60,58,2023-02-26,22-191,SAC,@,OKC,W (+9),1,31:43,7,15,.467,4,9,.444,2,2,1.000,4,2,6,2,3,0,0,2,20,19.3,+6
61,59,2023-02-28,22-193,SAC,@,OKC,W (+6),1,36:22,5,10,.500,3,7,.429,0,0,,1,9,10,4,1,0,0,1,13,14.8,+15
62,60,2023-03-03,22-196,SAC,,LAC,W (+1),1,32:39,5,10,.500,4,9,.444,0,0,,2,3,5,0,1,0,0,3,14,11.1,-3
63,61,2023-03-04,22-197,SAC,,MIN,L (-4),1,19:58,0,2,.000,0,2,.000,0,0,,2,1,3,2,0,0,1,2,0,-0.1,-10
64,62,2023-03-06,22-199,SAC,,NOP,W (+15),1,36:50,5,12,.417,2,8,.250,1,1,1.000,0,3,3,2,2,0,0,1,13,10.5,+14
65,63,2023-03-09,22-202,SAC,,NYK,W (+5),1,25:48,4,8,.500,2,5,.400,1,2,.500,1,5,6,2,2,1,0,3,11,11.7,+11
66,64,2023-03-11,22-204,SAC,@,PHO,W (+9),1,15:15,0,3,.000,0,3,.000,0,0,,0,0,0,1,0,1,0,3,0,-1.9,-16
67,65,2023-03-13,22-206,SAC,,MIL,L (-9),1,22:10,2,7,.286,1,4,.250,2,2,1.000,0,2,2,0,0,0,1,4,7,0.9,-8
68,66,2023-03-15,22-208,SAC,@,CHI,W (+3),1,29:36,2,7,.286,2,7,.286,3,4,.750,1,9,10,1,0,1,3,1,9,5.9,+4
69,67,2023-03-16,22-209,SAC,@,BRK,W (+5),1,31:26,4,8,.500,3,6,.500,0,0,,0,4,4,0,1,0,1,4,11,6.6,-3
