Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2021-10-20,25-315,CHO,,IND,W (+1),1,34:58,5,17,.294,2,9,.222,2,2,1.000,0,3,3,1,0,0,0,4,14,4.1,+1
2,2,2021-10-22,25-317,CHO,@,CLE,W (+11),0,27:05,9,13,.692,4,7,.571,3,3,1.000,0,3,3,1,1,0,0,2,25,21.3,+6
3,3,2021-10-24,25-319,CHO,@,BRK,W (+16),1,22:53,4,13,.308,1,5,.200,0,0,,4,4,8,1,1,0,1,4,9,4.6,+13
4,4,2021-10-25,25-320,CHO,,BOS,L (-11),1,42:50,6,16,.375,5,10,.500,2,4,.500,2,7,9,2,0,0,0,3,19,13.1,+5
5,5,2021-10-27,25-322,CHO,@,ORL,W (+9),1,27:51,1,7,.143,0,5,.000,2,2,1.000,0,2,2,0,0,0,0,0,4,0.1,-5
6,6,2021-10-29,25-324,CHO,@,MIA,L (-15),1,36:17,7,12,.583,3,6,.500,0,1,.000,2,2,4,1,3,0,0,3,17,15.5,-6
7,7,2021-10-31,25-326,CHO,,POR,W (+12),0,31:40,8,14,.571,6,11,.545,4,8,.500,3,4,7,5,2,0,1,2,26,24.8,+1
8,8,2021-11-01,25-327,CHO,,CLE,L (-3),0,20:47,1,8,.125,0,3,.000,0,0,,3,1,4,1,1,1,1,5,2,-1.4,-14
9,9,2021-11-03,25-329,CHO,@,GSW,L (-22),0,13:25,0,4,.000,0,3,.000,0,0,,0,1,1,1,0,0,2,1,0,-4.2,-12
10,10,2021-11-05,25-331,CHO,@,SAC,L (-30),0,13:49,4,10,.400,1,5,.200,0,0,,1,3,4,0,0,0,1,2,9,3.4,-14
11,11,2021-11-07,25-333,CHO,@,LAC,L (-14),0,28:14,7,14,.500,1,6,.167,1,3,.333,0,4,4,2,1,1,2,4,16,8.9,-13
12,12,2021-11-08,25-334,CHO,@,LAL,L (-3),0,17:37,3,10,.300,2,4,.500,0,0,,3,0,3,1,0,0,2,3,8,1.8,-24
13,13,2021-11-10,25-336,CHO,@,MEM,W (+10),0,30:56,13,17,.765,7,9,.778,4,4,1.000,2,3,5,1,2,0,2,0,37,33.3,+20
14,14,2021-11-12,25-338,CHO,,NYK,W (+8),0,27:29,4,13,.308,4,10,.400,0,0,,0,2,2,0,0,0,2,2,12,2.3,0
15,15,2021-11-14,25-340,CHO,,GSW,W (+4),0,15:57,4,8,.500,2,5,.400,0,0,,0,4,4,0,1,0,1,3,10,6.0,-2
16,16,2021-11-17,25-343,CHO,,WAS,W (+10),0,23:45,5,10,.500,3,7,.429,1,2,.500,1,2,3,1,1,2,0,1,14,12.6,+10
17,17,2021-11-19,25-345,CHO,,IND,W (+3),0,30:27,6,11,.545,3,7,.429,1,2,.500,0,3,3,0,1,0,3,3,16,8.0,-1
18,18,2021-11-20,25-346,CHO,@,ATL,L (-10),0,27:08,4,14,.286,0,7,.000,0,0,,2,5,7,1,0,0,0,2,8,2.6,-5
19,19,2021-11-22,25-348,CHO,@,WAS,W (+6),0,22:24,3,7,.429,1,4,.250,0,0,,0,2,2,1,1,0,1,4,7,3.0,-10
20,20,2021-11-24,25-350,CHO,@,ORL,W (+7),0,34:17,7,17,.412,3,8,.375,4,5,.800,2,4,6,0,0,0,1,1,21,12.7,+16
21,21,2021-11-26,25-352,CHO,,MIN,W (+18),0,26:53,10,17,.588,7,13,.538,0,0,,0,1,1,0,0,0,0,2,27,18.6,+21
22,22,2021-11-27,25-353,CHO,@,HOU,L (-3),0,36:00,8,19,.421,2,10,.200,5,6,.833,3,1,4,0,3,2,0,4,23,17.7,+17
23,23,2021-11-29,25-355,CHO,@,CHI,L (-14),0,32:25,8,17,.471,2,7,.286,0,0,,1,2,3,2,2,1,0,3,18,13.5,+4
24,24,2021-12-01,25-357,CHO,@,MIL,L (-2),0,30:34,9,14,.643,5,9,.556,2,3,.667,0,2,2,1,1,0,3,4,25,16.1,-4
25,25,2021-12-05,25-361,CHO,@,ATL,W (+3),1,38:54,11,17,.647,6,10,.600,0,4,.000,1,2,3,2,1,0,0,2,28,21.8,-16
26,26,2021-12-06,25-362,CHO,,PHI,L (-3),1,42:57,13,24,.542,6,13,.462,3,4,.750,1,4,5,3,4,1,1,0,35,30.7,-1
