Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2016-10-26,21-011,TOR,,DET,W (+18),0,12:47,1,4,.250,0,0,,0,0,,2,0,2,0,0,0,0,5,2,-1.0,-4
2,2,2016-10-28,21-013,TOR,,CLE,L (-3),0,10:49,3,5,.600,0,0,,1,1,1.000,4,3,7,0,0,0,0,1,7,8.0,+9
3,3,2016-10-31,21-016,TOR,,DEN,W (+3),0,17:24,0,3,.000,0,0,,1,2,.500,1,4,5,0,0,2,0,3,1,0.6,-3
4,4,2016-11-02,21-018,TOR,@,WAS,W (+10),0,17:23,0,0,,0,0,,0,0,,1,4,5,0,1,1,1,6,0,0.2,+8
5,5,2016-11-04,21-020,TOR,,MIA,W (+9),0,20:04,1,4,.250,0,0,,2,2,1.000,4,2,6,0,1,0,1,2,4,4.2,+6
6,6,2016-11-06,21-022,TOR,,SAC,L (-5),1,18:26,3,4,.750,0,0,,0,0,,2,2,4,2,0,0,0,6,6,5.4,-7
7,7,2016-11-09,21-025,TOR,@,OKC,W (+10),1,19:02,2,4,.500,0,0,,0,0,,2,0,2,0,0,1,1,3,4,1.9,-20
8,,2016-11-11,21-027,TOR,@,CHO,W (+2),,,,,,,,,,,,,,,,,,,,,,
9,,2016-11-12,21-028,TOR,,NYK,W (+11),,,,,,,,,,,,,,,,,,,,,,
10,,2016-11-15,21-031,TOR,@,CLE,L (-4),,,,,,,,,,,,,,,,,,,,,,
11,,2016-11-16,21-032,TOR,,GSW,L (-6),,,,,,,,,,,,,,,,,,,,,,
12,8,2016-11-18,21-034,TOR,@,DEN,W (+2),0,15:52,2,2,1.000,0,0,,2,3,.667,2,4,6,0,1,0,0,2,6,7.8,-2
13,,2016-11-20,21-036,TOR,@,SAC,L (-3),,,,,,,,,,,,,,,,,,,,,,
14,,2016-11-21,21-037,TOR,@,LAC,L (-8),,,,,,,,,,,,,,,,,,,,,,
15,,2016-11-23,21-039,TOR,@,HOU,W (+13),,,,,,,,,,,,,,,,,,,,,,
16,,2016-11-25,21-041,TOR,@,MIL,W (+6),,,,,,,,,,,,,,,,,,,,,,
17,9,2016-11-28,21-044,TOR,,PHI,W (+27),0,3:34,0,0,,0,0,,2,4,.500,1,0,1,0,0,0,1,1,2,0.5,0
18,,2016-11-30,21-046,TOR,,MEM,W (+15),,,,,,,,,,,,,,,,,,,,,,
19,10,2016-12-02,21-048,TOR,,LAL,W (+33),0,5:38,0,1,.000,0,0,,0,0,,0,2,2,2,0,0,0,1,0,0.9,+7
20,11,2016-12-03,21-049,TOR,,ATL,W (+44),0,4:10,1,2,.500,0,0,,0,1,.000,1,0,1,0,1,1,0,0,2,3.0,+6
21,,2016-12-05,21-051,TOR,,CLE,L (-4),,,,,,,,,,,,,,,,,,,,,,
22,,2016-12-08,21-054,TOR,,MIN,W (+14),,,,,,,,,,,,,,,,,,,,,,
23,,2016-12-09,21-055,TOR,@,BOS,W (+7),,,,,,,,,,,,,,,,,,,,,,
24,12,2016-12-12,21-058,TOR,,MIL,W (+22),0,2:36,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,0,0,2,2.4,+2
25,13,2016-12-14,21-060,TOR,@,PHI,W (+9),0,6:52,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,3,0,-1.9,-7
26,,2016-12-16,21-062,TOR,,ATL,L (-4),,,,,,,,,,,,,,,,,,,,,,
27,14,2016-12-18,21-064,TOR,@,ORL,W (+30),0,5:23,0,1,.000,0,0,,0,2,.000,1,1,2,0,1,0,0,0,0,0.5,-3
28,15,2016-12-20,21-066,TOR,,BRK,W (+12),0,5:03,0,1,.000,0,0,,0,2,.000,1,1,2,0,0,0,0,0,0,-0.5,-5
29,,2016-12-23,21-069,TOR,@,UTA,W (+6),,,,,,,,,,,,,,,,,,,,,,
30,,2016-12-26,21-072,TOR,@,POR,W (+4),,,,,,,,,,,,,,,,,,,,,,
31,,2016-12-28,21-074,TOR,@,GSW,L (-10),,,,,,,,,,,,,,,,,,,,,,
32,,2016-12-29,21-075,TOR,@,PHO,L (-8),,,,,,,,,,,,,,,,,,,,,,
33,16,2017-01-01,21-078,TOR,@,LAL,W (+9),0,8:47,1,1,1.000,0,0,,2,2,1.000,1,1,2,0,0,0,0,2,4,3.9,+15
34,17,2017-01-03,21-080,TOR,@,SAS,L (-28),0,25:34,1,4,.250,0,0,,2,4,.500,6,3,9,0,2,0,2,2,4,5.1,-8
35,18,2017-01-05,21-082,TOR,,UTA,W (+8),0,6:18,0,0,,0,0,,0,0,,0,1,1,0,0,1,0,0,0,1.0,-5
36,19,2017-01-07,21-084,TOR,@,CHI,L (-5),0,1:25,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+5
37,,2017-01-08,21-085,TOR,,HOU,L (-7),,,,,,,,,,,,,,,,,,,,,,
38,20,2017-01-10,21-087,TOR,,BOS,W (+8),0,6:28,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,1,2,0.3,-8
