Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2022-10-19,23-124,NYK,@,MEM,L (-3),0,16:55,0,6,.000,0,3,.000,0,0,,0,3,3,0,0,0,0,0,0,-3.3,-6
2,2,2022-10-21,23-126,NYK,,DET,W (+24),0,27:06,8,14,.571,3,8,.375,1,1,1.000,1,6,7,7,0,0,3,2,20,17.0,+27
3,3,2022-10-24,23-129,NYK,,ORL,W (+13),0,23:13,0,5,.000,0,4,.000,0,0,,1,5,6,8,1,0,2,2,0,2.5,0
4,4,2022-10-26,23-131,NYK,,CHO,W (+3),0,18:56,3,6,.500,2,3,.667,3,4,.750,1,2,3,3,0,0,3,1,11,7.6,-5
5,5,2022-10-28,23-133,NYK,@,MIL,L (-11),0,27:54,5,11,.455,2,4,.500,2,4,.500,1,3,4,3,3,1,1,1,14,13.5,+11
6,6,2022-10-30,23-135,NYK,@,CLE,L (-13),0,19:07,2,7,.286,1,4,.250,2,3,.667,0,3,3,3,0,0,1,1,7,4.1,-6
7,7,2022-11-02,23-138,NYK,,ATL,L (-13),0,29:20,3,7,.429,1,3,.333,4,4,1.000,2,14,16,4,0,0,2,2,11,12.9,+7
8,8,2022-11-04,23-140,NYK,@,PHI,W (+2),0,21:12,1,7,.143,1,4,.250,1,1,1.000,0,6,6,2,2,0,4,2,4,-0.1,-5
9,9,2022-11-05,23-141,NYK,,BOS,L (-15),0,13:16,2,6,.333,0,2,.000,0,0,,0,2,2,1,1,0,0,0,4,2.9,-16
10,10,2022-11-07,23-143,NYK,@,MIN,W (+13),0,16:41,3,6,.500,1,2,.500,2,2,1.000,1,3,4,1,2,0,1,2,9,8.5,+15
11,11,2022-11-09,23-145,NYK,@,BRK,L (-27),0,19:44,1,8,.125,0,6,.000,0,0,,0,4,4,4,1,0,1,3,2,-0.4,-17
12,12,2022-11-11,23-147,NYK,,DET,W (+9),0,21:15,3,6,.500,2,3,.667,0,0,,1,4,5,1,2,0,0,4,8,8.0,+2
13,13,2022-11-13,23-149,NYK,,OKC,L (-10),0,23:23,8,17,.471,1,4,.250,7,8,.875,0,1,1,5,3,1,0,3,24,21.2,+5
14,14,2022-11-15,23-151,NYK,@,UTA,W (+7),0,25:31,5,10,.500,3,6,.500,0,0,,0,3,3,2,4,0,0,5,13,12.3,+18
15,15,2022-11-16,23-152,NYK,@,DEN,W (+3),0,27:49,2,5,.400,0,2,.000,2,3,.667,0,5,5,6,1,0,1,1,6,8.2,+11
16,16,2022-11-18,23-154,NYK,@,GSW,L (-10),0,26:43,0,5,.000,0,3,.000,6,6,1.000,0,6,6,1,2,0,3,0,6,4.0,-8
17,17,2022-11-20,23-156,NYK,@,PHO,L (-21),0,28:00,1,6,.167,0,2,.000,4,4,1.000,0,1,1,2,0,1,2,0,6,2.6,-1
18,18,2022-11-21,23-157,NYK,@,OKC,W (+10),0,25:12,6,8,.750,4,5,.800,2,2,1.000,1,2,3,4,1,0,0,3,18,18.7,+11
19,19,2022-11-25,23-161,NYK,,POR,L (-3),0,32:25,6,17,.353,4,10,.400,2,2,1.000,1,3,4,5,1,0,1,4,18,12.0,+7
20,20,2022-11-27,23-163,NYK,,MEM,L (-4),0,10:14,2,3,.667,1,1,1.000,1,1,1.000,1,2,3,2,0,0,0,0,6,7.4,-1
21,21,2022-11-29,23-165,NYK,@,DET,W (+30),0,22:20,7,12,.583,0,2,.000,1,1,1.000,0,1,1,4,0,0,3,3,15,8.3,-3
22,22,2022-11-30,23-166,NYK,,MIL,L (-6),0,18:10,2,9,.222,0,5,.000,0,0,,2,4,6,2,0,0,0,1,4,2.1,-3
23,23,2022-12-03,23-169,NYK,,DAL,L (-21),0,29:46,7,11,.636,2,5,.400,7,10,.700,2,4,6,0,0,0,4,1,23,15.1,-13
24,24,2022-12-04,23-170,NYK,,CLE,W (+11),0,24:11,6,8,.750,0,0,,0,0,,1,4,5,2,0,0,3,2,12,8.3,+13
25,25,2022-12-07,23-173,NYK,,ATL,W (+24),0,25:21,2,8,.250,1,2,.500,3,3,1.000,0,3,3,3,0,0,1,4,8,3.6,+7
26,26,2022-12-09,23-175,NYK,@,CHO,W (+19),0,27:39,4,11,.364,3,7,.429,0,0,,1,1,2,4,0,0,2,2,11,5.9,+11
27,27,2022-12-11,23-177,NYK,,SAC,W (+13),0,25:06,4,11,.364,1,5,.200,3,4,.750,0,4,4,2,1,0,0,2,12,8.3,+9
28,28,2022-12-14,23-180,NYK,@,CHI,W (+8),0,34:41,4,10,.400,1,4,.250,0,0,,0,3,3,4,4,0,1,3,9,9.1,+6
29,29,2022-12-16,23-182,NYK,@,CHI,W (+23),0,26:12,1,12,.083,0,7,.000,1,1,1.000,0,1,1,2,1,0,0,2,3,-3.1,+6
30,30,2022-12-18,23-184,NYK,@,IND,W (+3),0,22:23,2,8,.250,1,2,.500,0,0,,0,1,1,2,1,0,0,1,5,2.5,-5
31,31,2022-12-20,23-186,NYK,,GSW,W (+38),0,22:34,6,10,.600,5,6,.833,5,5,1.000,0,4,4,2,2,1,4,3,22,17.5,+15
32,32,2022-12-21,23-187,NYK,,TOR,L (-7),1,34:38,7,10,.700,6,9,.667,0,0,,0,2,2,1,0,0,1,2,20,15.3,+2
33,33,2022-12-23,23-189,NYK,,CHI,L (-1),0,21:07,6,10,.600,1,5,.200,2,2,1.000,1,2,3,3,0,0,0,0,15,13.8,+11
34,34,2022-12-25,23-191,NYK,,PHI,L (-7),0,21:33,4,7,.571,2,5,.400,1,2,.500,0,1,1,1,0,1,1,1,11,7.6,+1
35,35,2022-12-27,23-193,NYK,@,DAL,L (-5),1,50:38,5,21,.238,1,10,.100,2,3,.667,0,3,3,15,1,0,1,5,13,9.3,0
36,36,2022-12-29,23-195,NYK,@,SAS,L (-7),1,43:15,12,27,.444,5,12,.417,7,8,.875,3,4,7,7,1,0,1,3,36,28.5,-12
37,37,2022-12-31,23-197,NYK,@,HOU,W (+20),1,40:28,9,25,.360,4,13,.308,5,6,.833,2,3,5,7,3,0,2,4,27,19.3,+25
38,38,2023-01-02,23-199,NYK,,PHO,W (+19),1,35:47,6,12,.500,3,6,.500,0,0,,1,4,5,3,0,0,1,3,15,10.8,+12
39,39,2023-01-04,23-201,NYK,,SAS,W (+3),1,45:32,6,13,.462,1,5,.200,2,2,1.000,2,6,8,5,1,0,1,1,15,14.6,+2
40,40,2023-01-06,23-203,NYK,@,TOR,W (+4),1,37:06,4,8,.500,0,3,.000,5,6,.833,0,5,5,4,0,0,0,3,13,11.7,+9
41,41,2023-01-09,23-206,NYK,,MIL,L (-4),1,42:57,9,14,.643,3,6,.500,2,3,.667,0,4,4,0,0,0,0,3,23,16.4,+5
