Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2022-10-18,24-142,LAL,@,GSW,L (-14),0,16:00,1,3,.333,0,2,.000,1,1,1.000,0,0,0,1,0,0,0,1,3,1.6,-6
2,2,2022-10-20,24-144,LAL,,LAC,L (-6),0,21:55,1,2,.500,0,1,.000,2,2,1.000,2,2,4,2,0,0,0,5,4,4.4,0
3,3,2022-10-23,24-147,LAL,,POR,L (-2),0,18:58,2,5,.400,2,4,.500,1,1,1.000,0,0,0,1,1,0,2,1,7,3.6,-6
4,4,2022-10-26,24-150,LAL,@,DEN,L (-11),1,26:29,3,5,.600,2,3,.667,0,0,,0,2,2,1,0,0,1,0,8,6.0,-23
5,5,2022-10-28,24-152,LAL,@,MIN,L (-9),0,26:35,4,5,.800,2,3,.667,2,2,1.000,1,6,7,3,0,0,2,0,12,12.7,+8
6,6,2022-10-30,24-154,LAL,,DEN,W (+11),0,27:36,3,6,.500,2,4,.500,2,3,.667,0,4,4,2,1,1,0,1,10,10.5,+15
7,7,2022-11-02,24-157,LAL,,NOP,W (+3),0,34:27,2,6,.333,0,3,.000,3,3,1.000,0,0,0,2,2,0,1,1,7,5.6,-11
8,8,2022-11-04,24-159,LAL,,UTA,L (-14),0,21:41,1,1,1.000,1,1,1.000,2,2,1.000,0,2,2,3,1,2,1,1,5,8.4,-4
9,9,2022-11-06,24-161,LAL,,CLE,L (-14),0,25:25,0,2,.000,0,1,.000,1,1,1.000,0,4,4,0,0,1,2,3,1,-1.7,-12
10,10,2022-11-07,24-162,LAL,@,UTA,L (-23),1,29:48,2,6,.333,0,3,.000,7,7,1.000,0,4,4,1,0,0,0,0,11,9.5,-14
11,11,2022-11-09,24-164,LAL,@,LAC,L (-13),1,35:16,3,10,.300,1,5,.200,1,3,.333,4,5,9,1,0,0,1,0,8,5.4,+1
12,12,2022-11-11,24-166,LAL,,SAC,L (-6),0,33:04,7,12,.583,0,2,.000,5,5,1.000,2,3,5,1,1,0,3,1,19,14.0,+2
13,13,2022-11-13,24-168,LAL,,BRK,W (+13),1,32:36,5,8,.625,3,4,.750,2,3,.667,0,1,1,3,0,0,1,2,15,11.6,+20
14,14,2022-11-18,24-173,LAL,,DET,W (+7),1,36:23,5,8,.625,2,4,.500,4,4,1.000,1,3,4,6,0,1,0,2,16,18.1,+14
15,15,2022-11-20,24-175,LAL,,SAS,W (+31),1,27:17,7,11,.636,3,4,.750,4,4,1.000,1,1,2,3,0,0,1,1,21,17.8,+19
16,16,2022-11-22,24-177,LAL,@,PHO,L (-10),1,35:36,3,5,.600,0,1,.000,5,5,1.000,1,2,3,4,0,1,1,5,11,10.5,-2
17,17,2022-11-25,24-180,LAL,@,SAS,W (+11),0,29:18,3,8,.375,0,3,.000,2,2,1.000,1,5,6,2,1,0,2,1,8,5.8,+15
18,18,2022-11-26,24-181,LAL,@,SAS,W (+5),0,30:50,6,7,.857,1,2,.500,3,3,1.000,0,2,2,2,1,0,2,3,16,13.3,+3
19,19,2022-11-28,24-183,LAL,,IND,L (-1),0,31:17,2,4,.500,2,3,.667,7,7,1.000,0,2,2,1,0,0,1,1,13,10.9,+6
20,20,2022-11-30,24-185,LAL,,POR,W (+19),1,34:55,7,10,.700,2,5,.400,6,8,.750,2,3,5,3,1,1,0,1,22,22.7,+10
21,21,2022-12-02,24-187,LAL,@,MIL,W (+4),0,32:17,2,4,.500,1,2,.500,2,2,1.000,1,1,2,2,0,0,1,0,7,6.4,+17
22,22,2022-12-04,24-189,LAL,@,WAS,W (+11),0,24:35,2,4,.500,0,2,.000,1,1,1.000,0,3,3,0,0,0,0,1,5,3.5,-4
23,23,2022-12-06,24-191,LAL,@,CLE,L (-14),0,25:58,3,9,.333,0,4,.000,2,2,1.000,0,0,0,0,1,0,2,2,8,1.1,-20
24,24,2022-12-07,24-192,LAL,@,TOR,L (-13),1,28:26,4,12,.333,1,6,.167,1,1,1.000,1,1,2,3,0,0,0,3,10,5.1,-11
25,25,2022-12-09,24-194,LAL,@,PHI,L (-11),0,40:50,9,15,.600,4,6,.667,3,4,.750,1,1,2,5,2,0,3,5,25,19.2,-4
26,26,2022-12-11,24-196,LAL,@,DET,W (+7),0,28:35,3,6,.500,3,5,.600,0,0,,0,3,3,2,0,1,3,0,9,6.0,+3
27,27,2022-12-13,24-198,LAL,,BOS,L (-4),0,35:35,2,6,.333,0,2,.000,0,0,,1,3,4,5,2,2,0,3,4,7.9,+8
28,28,2022-12-16,24-201,LAL,,DEN,W (+18),0,29:56,5,9,.556,2,5,.400,4,4,1.000,1,3,4,0,1,1,2,3,16,11.8,+26
29,29,2022-12-18,24-203,LAL,,WAS,W (+2),1,33:31,4,5,.800,2,2,1.000,2,2,1.000,0,4,4,2,1,1,1,2,12,12.6,+15
30,,2022-12-19,24-204,LAL,@,PHO,L (-26),,,,,,,,,,,,,,,,,,,,,,
31,,2022-12-21,24-206,LAL,@,SAC,L (-14),,,,,,,,,,,,,,,,,,,,,,
