Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,2022-10-18,23-126,PHI,@,BOS,L (-9),,,,,,,,,,,,,,,,,,,,,,
2,1,2022-10-20,23-128,PHI,,MIL,L (-2),0,4:55,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,+1
3,,2022-10-22,23-130,PHI,,SAS,L (-9),,,,,,,,,,,,,,,,,,,,,,
4,2,2022-10-24,23-132,PHI,,IND,W (+14),0,8:58,0,2,.000,0,0,,0,0,,0,1,1,0,1,1,1,1,0,-0.8,-3
5,3,2022-10-26,23-134,PHI,@,TOR,L (-10),0,2:56,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-4
6,4,2022-10-28,23-136,PHI,@,TOR,W (+22),0,2:15,0,0,,0,0,,0,0,,0,1,1,0,1,0,0,0,0,1.3,+3
7,,2022-10-29,23-137,PHI,@,CHI,W (+5),,,,,,,,,,,,,,,,,,,,,,
8,5,2022-10-31,23-139,PHI,@,WAS,W (+7),0,2:27,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,1.0,+4
9,6,2022-11-02,23-141,PHI,,WAS,L (-10),0,5:49,1,3,.333,0,0,,0,0,,1,1,2,1,0,0,0,1,2,1.6,+4
10,7,2022-11-04,23-143,PHI,,NYK,L (-2),0,18:12,1,2,.500,0,0,,0,0,,0,4,4,0,6,2,1,4,2,7.0,-3
11,8,2022-11-07,23-146,PHI,,PHO,W (+12),0,11:26,1,1,1.000,0,0,,0,0,,2,2,4,0,1,0,1,4,2,2.1,+2
12,9,2022-11-10,23-149,PHI,@,ATL,L (-9),0,9:12,0,3,.000,0,2,.000,0,0,,1,2,3,0,1,1,0,3,0,-0.3,-14
13,10,2022-11-12,23-151,PHI,,ATL,W (+12),0,7:59,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,4,0,-1.3,-10
14,11,2022-11-13,23-152,PHI,,UTA,W (+7),0,4:45,0,2,.000,0,0,,0,0,,1,0,1,0,0,1,0,1,0,-0.4,-7
15,12,2022-11-18,23-157,PHI,,MIL,W (+8),0,12:26,1,2,.500,0,0,,0,0,,1,5,6,0,1,0,0,3,2,3.0,+5
16,13,2022-11-19,23-158,PHI,,MIN,L (-3),0,12:26,1,1,1.000,0,0,,0,0,,1,4,5,3,1,0,0,3,2,5.5,-9
17,14,2022-11-22,23-161,PHI,,BRK,W (+9),0,31:13,7,9,.778,0,0,,5,6,.833,5,5,10,0,3,2,2,1,19,22.1,+21
18,15,2022-11-23,23-162,PHI,@,CHO,L (-6),0,21:43,3,4,.750,0,0,,0,0,,1,7,8,1,2,3,2,4,6,8.4,-7
19,16,2022-11-25,23-164,PHI,@,ORL,W (+8),0,19:31,3,7,.429,0,1,.000,0,0,,5,2,7,2,1,0,0,6,6,6.4,-6
20,17,2022-11-27,23-166,PHI,@,ORL,W (+30),0,30:08,6,6,1.000,0,0,,0,0,,3,10,13,3,1,2,5,4,12,13.2,+28
21,18,2022-11-28,23-167,PHI,,ATL,W (+3),0,12:32,1,2,.500,0,0,,0,0,,3,4,7,0,1,0,2,2,2,2.5,-1
22,19,2022-11-30,23-169,PHI,@,CLE,L (-28),0,14:25,4,4,1.000,0,0,,1,2,.500,2,3,5,2,0,1,2,2,9,9.0,-12
23,20,2022-12-02,23-171,PHI,@,MEM,L (-8),0,6:15,1,3,.333,0,0,,0,0,,2,0,2,0,1,0,0,2,2,1.9,-16
24,21,2022-12-05,23-174,PHI,@,HOU,L (-9),0,16:11,2,4,.500,0,0,,2,4,.500,2,1,3,0,0,3,0,5,6,5.0,-8
25,22,2022-12-09,23-178,PHI,,LAL,W (+11),0,3:37,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,3,0,-1.9,-12
26,23,2022-12-11,23-180,PHI,,CHO,W (+18),0,1:41,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+1
27,24,2022-12-13,23-182,PHI,,SAC,W (+20),0,5:33,0,3,.000,0,0,,0,0,,1,1,2,0,0,0,0,0,0,-1.1,-6
28,25,2022-12-16,23-185,PHI,,GSW,W (+12),0,0:59,1,2,.500,0,0,,0,0,,1,1,2,0,0,0,0,1,2,1.6,0
29,,2022-12-19,23-188,PHI,,TOR,W (+3),,,,,,,,,,,,,,,,,,,,,,
30,26,2022-12-21,23-190,PHI,,DET,W (+20),0,4:19,1,1,1.000,0,0,,0,0,,1,1,2,0,0,0,1,2,2,0.9,+2
31,27,2022-12-23,23-192,PHI,,LAC,W (+5),0,5:12,1,1,1.000,0,0,,0,0,,0,0,0,0,0,1,0,2,2,1.6,+4
32,,2022-12-25,23-194,PHI,@,NYK,W (+7),,,,,,,,,,,,,,,,,,,,,,
33,28,2022-12-27,23-196,PHI,@,WAS,L (-5),0,2:50,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,0.7,-9
34,29,2022-12-30,23-199,PHI,@,NOP,L (-11),0,1:02,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,+2
35,30,2022-12-31,23-200,PHI,@,OKC,W (+19),0,3:56,1,5,.200,0,0,,0,0,,0,3,3,0,0,1,1,1,2,-0.9,-5
36,,2023-01-02,23-202,PHI,,NOP,W (+9),,,,,,,,,,,,,,,,,,,,,,
37,,2023-01-04,23-204,PHI,,IND,W (+3),,,,,,,,,,,,,,,,,,,,,,
38,31,2023-01-06,23-206,PHI,,CHI,L (-14),0,7:25,0,0,,0,0,,0,0,,1,1,2,0,0,0,0,0,0,1.0,+1
39,32,2023-01-08,23-208,PHI,@,DET,W (+12),0,24:11,6,7,.857,0,0,,4,4,1.000,8,4,12,1,3,0,2,2,16,21.2,+9
40,33,2023-01-10,23-210,PHI,,DET,W (+31),0,10:25,2,2,1.000,0,0,,2,2,1.000,0,3,3,1,0,3,1,2,6,7.3,+2
41,34,2023-01-12,23-212,PHI,,OKC,L (-19),0,13:19,2,6,.333,0,1,.000,0,0,,4,2,6,0,0,0,0,3,4,2.8,-8
42,,2023-01-14,23-214,PHI,@,UTA,W (+1),,,,,,,,,,,,,,,,,,,,,,
43,,2023-01-15,23-215,PHI,@,LAL,W (+1),,,,,,,,,,,,,,,,,,,,,,
44,35,2023-01-17,23-217,PHI,@,LAC,W (+10),0,2:53,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-7
45,,2023-01-19,23-219,PHI,@,POR,W (+10),,,,,,,,,,,,,,,,,,,,,,
46,36,2023-01-21,23-221,PHI,@,SAC,W (+2),0,14:47,4,6,.667,0,0,,1,2,.500,4,3,7,0,0,1,1,4,9,7.8,+2
47,,2023-01-25,23-225,PHI,,BRK,W (+4),,,,,,,,,,,,,,,,,,,,,,
48,,2023-01-28,23-228,PHI,,DEN,W (+7),,,,,,,,,,,,,,,,,,,,,,
49,37,2023-01-30,23-230,PHI,,ORL,L (-10),0,0:55,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1
50,38,2023-02-01,23-232,PHI,,ORL,W (+11),0,2:55,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,1,0,-1.1,-3
51,39,2023-02-03,23-234,PHI,@,SAS,W (+12),0,4:27,2,3,.667,0,0,,0,0,,2,0,2,0,0,0,0,0,4,4.1,-14
52,40,2023-02-05,23-236,PHI,@,NYK,L (-11),0,8:25,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,1,2,0.6,-14
53,,2023-02-08,23-239,PHI,@,BOS,L (-7),,,,,,,,,,,,,,,,,,,,,,
54,41,2023-02-10,23-241,PHI,,NYK,W (+11),0,10:15,0,0,,0,0,,0,0,,0,4,4,0,2,0,0,2,0,2.4,+4
