Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2022-10-19,24-324,CHO,@,SAS,W (+27),0,21:26,7,13,.538,0,0,,5,7,.714,8,2,10,0,0,0,0,2,19,17.3,+28
2,2,2022-10-21,24-326,CHO,,NOP,L (-12),0,26:13,2,4,.500,0,0,,2,2,1.000,1,5,6,0,0,0,0,2,6,5.4,-8
3,3,2022-10-23,24-328,CHO,@,ATL,W (+17),0,20:09,9,9,1.000,0,0,,2,3,.667,5,6,11,1,0,2,0,1,20,23.9,+25
4,4,2022-10-26,24-331,CHO,@,NYK,L (-3),0,19:05,2,2,1.000,0,0,,3,4,.750,2,2,4,2,0,0,0,0,7,9.4,+12
5,5,2022-10-28,24-333,CHO,@,ORL,L (-20),0,20:22,5,7,.714,0,0,,4,5,.800,2,4,6,0,0,0,0,3,14,12.1,-13
6,6,2022-10-29,24-334,CHO,,GSW,W (+7),0,19:51,3,8,.375,0,0,,3,3,1.000,5,3,8,2,0,0,1,2,9,8.6,-3
7,7,2022-10-31,24-336,CHO,,SAC,L (-7),0,19:26,2,3,.667,0,0,,0,2,.000,0,4,4,2,0,1,2,3,4,2.0,-1
8,8,2022-11-02,24-338,CHO,@,CHI,L (-18),0,13:54,2,3,.667,0,0,,0,2,.000,1,1,2,1,0,2,2,2,4,2.2,-16
9,9,2022-11-04,24-340,CHO,@,MEM,L (-31),0,18:53,2,9,.222,0,0,,5,6,.833,4,5,9,2,0,1,1,1,9,8.1,-9
10,10,2022-11-05,24-341,CHO,,BRK,L (-4),0,17:43,3,5,.600,0,0,,4,5,.800,4,5,9,1,0,0,2,4,10,8.7,+9
11,11,2022-11-07,24-343,CHO,,WAS,L (-8),0,23:44,4,6,.667,0,0,,0,0,,3,3,6,0,0,2,0,2,8,9.0,-3
12,12,2022-11-09,24-345,CHO,,POR,L (-10),0,14:45,2,3,.667,0,0,,2,3,.667,1,1,2,0,0,1,1,1,6,4.6,-9
13,13,2022-11-10,24-346,CHO,@,MIA,L (-5),0,14:10,4,4,1.000,0,0,,2,3,.667,2,2,4,0,1,1,1,4,10,9.5,-9
