Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2016-10-26,22-223,BOS,,BRK,W (+5),0,27:51,2,5,.400,1,2,.500,0,0,,0,3,3,3,2,0,1,2,5,5.5,+2
2,2,2016-10-27,22-224,BOS,@,CHI,L (-6),0,22:39,3,7,.429,2,5,.400,0,0,,0,4,4,4,2,0,0,1,8,9.9,0
3,3,2016-10-29,22-226,BOS,@,CHO,W (+6),0,21:16,2,4,.500,0,1,.000,1,1,1.000,0,3,3,2,0,0,2,1,5,2.9,-10
4,4,2016-11-02,22-230,BOS,,CHI,W (+7),0,12:54,3,6,.500,1,2,.500,0,1,.000,0,2,2,0,0,0,0,1,7,3.8,-2
5,5,2016-11-03,22-231,BOS,@,CLE,L (-6),0,15:58,3,5,.600,1,2,.500,0,0,,0,3,3,2,0,0,0,2,7,6.2,+6
6,6,2016-11-06,22-234,BOS,,DEN,L (-16),0,16:15,2,6,.333,1,3,.333,0,0,,0,2,2,1,0,0,0,0,5,2.9,-4
7,7,2016-11-09,22-237,BOS,@,WAS,L (-25),0,14:03,0,4,.000,0,1,.000,0,2,.000,0,1,1,3,0,0,1,0,0,-2.2,-14
8,8,2016-11-11,22-239,BOS,,NYK,W (+28),0,26:49,1,8,.125,1,1,1.000,7,8,.875,2,3,5,1,2,0,0,2,10,8.6,+28
9,9,2016-11-12,22-240,BOS,@,IND,W (+6),0,21:49,4,7,.571,2,4,.500,1,2,.500,0,6,6,1,1,1,0,0,11,11.5,+14
10,10,2016-11-14,22-242,BOS,@,NOP,L (-1),0,12:39,3,7,.429,1,4,.250,0,0,,1,1,2,0,0,0,0,2,7,3.5,-10
11,11,2016-11-16,22-244,BOS,,DAL,W (+7),0,21:31,2,4,.500,1,1,1.000,0,0,,0,3,3,0,0,2,3,2,5,1.5,-7
12,12,2016-11-18,22-246,BOS,,GSW,L (-16),0,25:32,3,5,.600,2,3,.667,3,4,.750,1,6,7,5,0,0,1,1,11,12.9,+2
13,13,2016-11-19,22-247,BOS,@,DET,W (+2),0,14:26,1,3,.333,1,2,.500,2,2,1.000,1,4,5,1,0,0,0,0,5,5.9,+2
14,14,2016-11-21,22-249,BOS,@,MIN,W (+6),0,16:07,5,8,.625,2,4,.500,0,0,,1,3,4,2,1,0,0,0,12,12.4,+10
15,15,2016-11-23,22-251,BOS,@,BRK,W (+19),0,22:41,3,4,.750,0,1,.000,0,0,,1,5,6,1,2,0,1,2,6,7.5,+6
16,16,2016-11-25,22-253,BOS,,SAS,L (-6),0,19:47,1,3,.333,0,2,.000,1,1,1.000,0,2,2,1,2,0,1,2,3,2.8,-13
17,17,2016-11-28,22-256,BOS,@,MIA,W (+8),0,13:26,2,4,.500,1,3,.333,0,0,,0,3,3,1,0,0,1,0,5,3.6,+5
18,18,2016-11-30,22-258,BOS,,DET,L (-7),0,14:41,1,5,.200,0,2,.000,1,1,1.000,0,2,2,6,1,0,0,2,3,4.9,-2
19,19,2016-12-02,22-260,BOS,,SAC,W (+5),0,15:44,1,7,.143,0,2,.000,0,0,,1,2,3,2,2,1,1,0,2,1.9,+7
20,20,2016-12-03,22-261,BOS,@,PHI,W (+1),0,10:10,0,3,.000,0,1,.000,0,0,,1,2,3,0,0,0,1,0,0,-1.8,-6
21,21,2016-12-05,22-263,BOS,@,HOU,L (-1),0,13:54,2,6,.333,0,2,.000,0,0,,0,3,3,5,1,0,0,0,4,6.0,+3
