Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2022-10-19,26-169,SAC,,POR,L (-7),1,33:07,5,10,.500,0,1,.000,3,6,.500,1,3,4,5,1,1,3,6,13,8.2,+7
2,2,2022-10-22,26-172,SAC,,LAC,L (-2),1,34:39,4,12,.333,0,3,.000,3,6,.500,3,7,10,7,2,2,1,4,11,12.9,+7
3,3,2022-10-23,26-173,SAC,@,GSW,L (-5),1,22:21,6,10,.600,0,1,.000,7,8,.875,3,11,14,4,0,1,1,2,19,21.1,-25
4,4,2022-10-27,26-177,SAC,,MEM,L (-15),1,30:52,4,6,.667,0,1,.000,3,4,.750,3,8,11,9,1,0,4,4,11,14.2,+7
5,5,2022-10-29,26-179,SAC,,MIA,W (+6),1,22:44,8,9,.889,0,0,,2,2,1.000,2,5,7,3,0,1,2,6,18,16.2,+6
6,6,2022-10-31,26-181,SAC,@,CHO,W (+7),1,31:14,3,9,.333,0,1,.000,3,5,.600,4,12,16,7,1,0,3,6,9,10.0,+12
7,7,2022-11-02,26-183,SAC,@,MIA,L (-3),1,37:12,8,15,.533,1,1,1.000,5,7,.714,0,12,12,8,1,0,2,2,22,21.3,-5
8,8,2022-11-05,26-186,SAC,@,ORL,W (+3),1,37:49,10,14,.714,0,1,.000,5,12,.417,2,9,11,6,1,1,2,4,25,22.8,+4
9,9,2022-11-07,26-188,SAC,@,GSW,L (-3),1,33:13,6,15,.400,0,2,.000,7,8,.875,4,10,14,6,0,0,3,4,19,15.9,-16
10,10,2022-11-09,26-190,SAC,,CLE,W (+7),1,35:09,5,8,.625,0,1,.000,11,12,.917,1,4,5,6,3,0,1,3,21,23.9,+15
11,11,2022-11-11,26-192,SAC,@,LAL,W (+6),1,31:34,9,15,.600,0,0,,3,3,1.000,2,8,10,6,1,0,2,5,21,19.1,+10
12,12,2022-11-13,26-194,SAC,,GSW,W (+7),1,34:12,10,17,.588,2,2,1.000,4,6,.667,6,16,22,8,0,0,3,1,26,28.5,+5
13,13,2022-11-15,26-196,SAC,,BRK,W (+32),1,27:36,6,6,1.000,0,0,,5,5,1.000,1,6,7,7,1,1,3,4,17,19.7,+44
14,14,2022-11-17,26-198,SAC,,SAS,W (+18),1,32:24,4,5,.800,1,1,1.000,7,7,1.000,0,8,8,1,0,0,2,4,16,13.6,-1
15,15,2022-11-20,26-201,SAC,,DET,W (+8),1,33:48,4,5,.800,1,1,1.000,6,8,.750,3,10,13,7,1,0,3,5,15,18.3,+12
16,16,2022-11-22,26-203,SAC,@,MEM,W (+4),1,37:21,3,8,.375,0,1,.000,3,6,.500,2,11,13,8,0,0,2,5,9,9.7,+1
17,17,2022-11-23,26-204,SAC,@,ATL,L (-9),1,34:12,6,11,.545,0,1,.000,3,4,.750,1,12,13,7,1,0,3,1,15,16.1,-4
18,18,2022-11-25,26-206,SAC,@,BOS,L (-18),1,33:12,7,13,.538,0,2,.000,4,4,1.000,2,8,10,6,0,0,3,5,18,14.7,-14
19,19,2022-11-28,26-209,SAC,,PHO,L (-5),1,37:00,8,10,.800,1,2,.500,0,0,,2,7,9,10,1,2,5,1,17,20.7,-5
20,20,2022-11-30,26-211,SAC,,IND,W (+23),1,23:09,5,9,.556,1,2,.500,0,0,,1,9,10,7,1,0,3,4,11,11.4,+11
21,21,2022-12-03,26-214,SAC,@,LAC,W (+27),1,26:11,10,11,.909,2,2,1.000,2,3,.667,2,3,5,6,0,2,2,5,24,23.8,+32
22,22,2022-12-04,26-215,SAC,,CHI,W (+9),1,36:03,2,4,.500,1,1,1.000,6,6,1.000,3,14,17,10,0,0,2,3,11,19.1,+6
23,23,2022-12-07,26-218,SAC,@,MIL,L (-13),1,36:16,9,11,.818,1,1,1.000,4,4,1.000,4,8,12,7,1,0,2,3,23,26.8,-16
24,24,2022-12-09,26-220,SAC,@,CLE,W (+11),1,37:29,5,12,.417,0,1,.000,8,14,.571,5,13,18,6,3,2,2,4,18,21.6,+11
25,25,2022-12-11,26-222,SAC,@,NYK,L (-13),1,39:01,7,10,.700,0,0,,6,11,.545,3,9,12,4,0,0,2,2,20,18.6,-6
26,26,2022-12-13,26-224,SAC,@,PHI,L (-20),1,29:43,8,10,.800,0,0,,6,7,.857,4,6,10,5,0,0,1,4,22,23.3,-13
27,27,2022-12-14,26-225,SAC,@,TOR,W (+1),1,40:15,10,13,.769,0,0,,1,1,1.000,5,15,20,7,1,1,5,3,21,24.3,+13
28,28,2022-12-16,26-227,SAC,@,DET,W (+9),1,40:52,9,11,.818,0,1,.000,5,7,.714,2,11,13,7,2,1,3,2,23,26.6,+11
29,29,2022-12-19,26-230,SAC,,CHO,L (-6),1,40:44,12,19,.632,2,2,1.000,2,5,.400,5,18,23,7,1,0,1,4,28,30.5,+6
30,30,2022-12-21,26-232,SAC,,LAL,W (+14),1,37:21,4,8,.500,1,2,.500,4,4,1.000,7,14,21,12,1,0,4,4,13,21.9,+20
31,31,2022-12-23,26-234,SAC,,WAS,L (-14),1,34:26,5,14,.357,0,2,.000,10,10,1.000,7,8,15,10,0,0,1,2,20,24.7,-6
32,,2022-12-27,26-238,SAC,,DEN,L (-7),,,,,,,,,,,,,,,,,,,,,,
33,32,2022-12-28,26-239,SAC,,DEN,W (+1),1,38:04,12,18,.667,2,2,1.000,5,8,.625,3,7,10,5,1,1,2,5,31,27.4,-4
34,33,2022-12-30,26-241,SAC,,UTA,W (+1),1,37:10,12,12,1.000,2,2,1.000,2,3,.667,3,8,11,8,0,0,7,3,28,25.9,+3
35,34,2023-01-01,26-243,SAC,@,MEM,L (-10),1,32:57,8,14,.571,0,2,.000,2,2,1.000,6,8,14,4,1,0,0,4,18,20.2,-1
36,35,2023-01-03,26-245,SAC,@,UTA,W (+2),1,38:51,8,13,.615,0,1,.000,5,5,1.000,3,11,14,8,0,0,2,5,21,22.1,+21
37,36,2023-01-04,26-246,SAC,,ATL,L (-3),1,39:30,7,13,.538,0,0,,6,8,.750,4,10,14,8,2,1,4,4,20,21.4,-5
38,37,2023-01-07,26-249,SAC,,LAL,L (-2),1,35:45,10,17,.588,0,2,.000,5,7,.714,2,10,12,7,0,1,4,6,25,19.9,+4
39,38,2023-01-09,26-251,SAC,,ORL,W (+25),1,31:47,5,12,.417,1,1,1.000,1,2,.500,2,8,10,8,0,0,3,0,12,11.6,+14
40,39,2023-01-11,26-253,SAC,,HOU,W (+20),1,37:57,9,12,.750,0,0,,7,9,.778,2,12,14,9,0,0,4,3,25,25.5,+13
41,40,2023-01-13,26-255,SAC,,HOU,W (+25),1,37:28,6,14,.429,0,3,.000,7,10,.700,5,10,15,16,2,2,2,3,19,28.3,+26
42,41,2023-01-15,26-257,SAC,@,SAS,W (+13),1,35:08,7,14,.500,0,1,.000,4,4,1.000,4,14,18,8,0,0,2,4,18,20.0,+10
43,,2023-01-18,26-260,SAC,@,LAL,W (+5),,,,,,,,,,,,,,,,,,,,,,
