Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2017-10-18,29-105,DET,,CHO,W (+12),0,20:50,2,9,.222,0,1,.000,0,0,,0,1,1,6,1,0,3,4,4,-0.6,+2
2,2,2017-10-20,29-107,DET,@,WAS,L (-4),0,16:12,6,12,.500,0,2,.000,0,2,.000,2,1,3,3,1,0,4,3,12,4.8,-12
3,3,2017-10-21,29-108,DET,@,NYK,W (+4),0,21:34,5,9,.556,0,1,.000,0,0,,0,0,0,3,1,0,1,2,10,7.0,-10
4,4,2017-10-23,29-110,DET,,PHI,L (-11),0,17:01,2,7,.286,0,1,.000,0,0,,1,3,4,2,1,1,3,1,4,1.2,-5
5,5,2017-10-25,29-112,DET,,MIN,W (+21),0,21:51,1,3,.333,0,0,,0,0,,1,2,3,13,0,0,3,3,2,6.5,+20
6,6,2017-10-28,29-115,DET,@,LAC,W (+8),0,15:43,4,6,.667,0,1,.000,0,0,,0,2,2,1,0,0,0,0,8,6.7,-8
7,7,2017-10-29,29-116,DET,@,GSW,W (+8),0,18:20,6,7,.857,0,0,,4,4,1.000,0,0,0,2,0,0,0,2,16,14.1,+11
8,8,2017-10-31,29-118,DET,@,LAL,L (-20),0,22:54,6,9,.667,0,1,.000,0,0,,0,3,3,3,0,0,0,0,12,11.1,-7
9,9,2017-11-03,29-121,DET,,MIL,W (+9),0,18:25,5,6,.833,0,0,,0,0,,0,3,3,4,0,0,2,1,10,9.1,+3
10,10,2017-11-04,29-122,DET,,SAC,W (+9),0,19:39,5,13,.385,0,0,,0,0,,0,3,3,2,1,0,0,1,10,5.8,+2
11,11,2017-11-08,29-126,DET,,IND,W (+17),0,21:07,5,10,.500,0,2,.000,0,0,,1,2,3,5,0,1,1,0,10,9.5,-2
12,12,2017-11-10,29-128,DET,,ATL,W (+7),0,18:40,7,10,.700,1,2,.500,2,2,1.000,0,3,3,5,1,0,1,4,17,15.6,-1
13,13,2017-11-12,29-130,DET,,MIA,W (+9),0,19:10,5,7,.714,0,0,,1,3,.333,1,3,4,7,0,0,0,0,11,13.8,+12
14,14,2017-11-15,29-133,DET,@,MIL,L (-4),0,25:35,2,11,.182,0,2,.000,0,0,,0,4,4,4,0,0,2,4,4,-2.5,+13
15,15,2017-11-17,29-135,DET,@,IND,L (-7),0,19:49,5,10,.500,1,1,1.000,4,4,1.000,0,2,2,2,0,0,1,2,15,10.2,-8
16,16,2017-11-19,29-137,DET,@,MIN,W (+3),0,18:34,4,7,.571,1,1,1.000,0,0,,0,0,0,5,0,0,2,3,9,6.0,+14
17,17,2017-11-20,29-138,DET,,CLE,L (-28),0,16:57,1,6,.167,0,1,.000,1,2,.500,0,0,0,2,1,0,0,3,3,0.0,-17
18,18,2017-11-24,29-142,DET,@,OKC,W (+1),0,22:03,7,11,.636,1,1,1.000,0,0,,0,3,3,4,0,2,0,1,15,14.8,+1
19,19,2017-11-27,29-145,DET,@,BOS,W (+10),0,19:39,3,8,.375,0,0,,2,2,1.000,0,1,1,3,0,0,0,1,8,5.6,-1
20,20,2017-11-29,29-147,DET,,PHO,W (+24),0,20:41,6,10,.600,0,0,,2,3,.667,0,3,3,6,0,1,1,0,14,13.8,+25
21,21,2017-12-01,29-149,DET,@,WAS,L (-18),0,22:23,4,8,.500,0,1,.000,0,3,.000,0,2,2,4,0,0,0,0,8,6.2,-14
22,22,2017-12-02,29-150,DET,@,PHI,L (-5),0,18:46,0,4,.000,0,1,.000,0,0,,0,2,2,4,1,1,1,0,0,1.3,-2
23,23,2017-12-04,29-152,DET,@,SAS,L (-3),0,14:15,4,10,.400,0,0,,3,4,.750,0,1,1,2,1,0,2,1,11,5.5,-8
24,24,2017-12-06,29-154,DET,@,MIL,L (-4),0,15:52,2,5,.400,0,0,,0,0,,0,0,0,0,0,0,0,1,4,0.9,-13
25,25,2017-12-08,29-156,DET,,GSW,L (-4),0,21:03,3,7,.429,0,0,,0,0,,0,1,1,4,2,0,1,1,6,6.0,+2
