Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,2019-10-23,23-209,CHI,@,CHO,L (-1),,,,,,,,,,,,,,,,,,,,,,
2,,2019-10-25,23-211,CHI,@,MEM,W (+8),,,,,,,,,,,,,,,,,,,,,,
3,,2019-10-26,23-212,CHI,,TOR,L (-24),,,,,,,,,,,,,,,,,,,,,,
4,,2019-10-28,23-214,CHI,@,NYK,L (-7),,,,,,,,,,,,,,,,,,,,,,
5,,2019-10-30,23-216,CHI,@,CLE,L (-6),,,,,,,,,,,,,,,,,,,,,,
6,,2019-11-01,23-218,CHI,,DET,W (+6),,,,,,,,,,,,,,,,,,,,,,
7,,2019-11-03,23-220,CHI,@,IND,L (-13),,,,,,,,,,,,,,,,,,,,,,
8,,2019-11-05,23-222,CHI,,LAL,L (-6),,,,,,,,,,,,,,,,,,,,,,
9,,2019-11-06,23-223,CHI,@,ATL,W (+20),,,,,,,,,,,,,,,,,,,,,,
10,,2019-11-09,23-226,CHI,,HOU,L (-23),,,,,,,,,,,,,,,,,,,,,,
11,,2019-11-12,23-229,CHI,,NYK,W (+18),,,,,,,,,,,,,,,,,,,,,,
12,,2019-11-14,23-231,CHI,@,MIL,L (-9),,,,,,,,,,,,,,,,,,,,,,
13,,2019-11-16,23-233,CHI,,BRK,L (-6),,,,,,,,,,,,,,,,,,,,,,
14,,2019-11-18,23-235,CHI,,MIL,L (-14),,,,,,,,,,,,,,,,,,,,,,
15,,2019-11-20,23-237,CHI,,DET,W (+20),,,,,,,,,,,,,,,,,,,,,,
16,1,2019-11-22,23-239,CHI,,MIA,L (-8),0,4:55,2,3,.667,0,1,.000,1,1,1.000,1,0,1,0,0,0,0,1,5,4.0,+13
17,,2019-11-23,23-240,CHI,@,CHO,W (+1),,,,,,,,,,,,,,,,,,,,,,
