Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2022-10-19,26-205,MIA,,CHI,L (-8),0,30:49,7,9,.778,5,7,.714,3,5,.600,1,6,7,1,0,0,2,3,22,17.7,+3
2,2,2022-10-21,26-207,MIA,,BOS,L (-7),0,23:24,1,5,.200,0,3,.000,0,0,,0,1,1,1,0,0,1,1,2,-1.5,-25
3,3,2022-10-22,26-208,MIA,,TOR,W (+3),0,37:07,8,14,.571,3,7,.429,1,1,1.000,0,5,5,3,0,2,0,1,20,18.0,-2
4,4,2022-10-24,26-210,MIA,,TOR,L (-8),1,30:11,3,14,.214,0,8,.000,0,0,,1,5,6,2,0,0,0,3,6,-0.2,+10
5,5,2022-10-26,26-212,MIA,@,POR,W (+21),0,27:39,6,11,.545,4,7,.571,0,0,,3,6,9,3,2,0,3,1,16,15.3,+24
6,6,2022-10-27,26-213,MIA,@,GSW,L (-13),0,32:08,5,11,.455,3,8,.375,1,2,.500,1,4,5,0,0,2,0,1,14,10.8,-16
7,7,2022-10-29,26-215,MIA,@,SAC,L (-6),0,34:27,4,15,.267,3,11,.273,0,0,,2,3,5,1,1,0,0,4,11,4.5,-11
8,8,2022-11-01,26-218,MIA,,GSW,W (+7),0,32:36,8,17,.471,4,10,.400,4,4,1.000,0,1,1,2,1,0,2,2,24,15.2,+5
9,9,2022-11-02,26-219,MIA,,SAC,W (+3),1,32:58,4,7,.571,2,5,.400,0,0,,0,0,0,4,0,1,0,3,10,9.0,-1
10,10,2022-11-04,26-221,MIA,@,IND,L (-2),1,39:38,6,13,.462,3,7,.429,2,2,1.000,1,6,7,3,2,0,3,3,17,12.7,+5
11,11,2022-11-07,26-224,MIA,,POR,L (-3),1,25:12,6,10,.600,4,8,.500,0,0,,0,0,0,2,1,0,0,5,16,11.8,+2
12,12,2022-11-10,26-227,MIA,,CHO,W (+5),1,39:43,5,15,.333,2,11,.182,0,0,,0,1,1,1,2,0,1,3,12,4.3,+3
13,13,2022-11-12,26-229,MIA,,CHO,W (+17),1,38:12,10,16,.625,8,14,.571,3,3,1.000,0,4,4,2,1,0,0,4,31,25.8,+15
