Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2023-10-25,24-280,TOR,,MIN,W (+3),0,26:42,2,8,.250,1,4,.250,0,0,,0,2,2,2,1,1,0,3,5,2.7,+3
2,2,2023-10-27,24-282,TOR,@,CHI,L (-1),0,36:09,6,15,.400,3,10,.300,1,4,.250,2,3,5,1,2,0,1,1,16,10.3,-15
3,3,2023-10-28,24-283,TOR,,PHI,L (-7),1,33:05,6,16,.375,3,5,.600,2,4,.500,1,1,2,0,1,0,1,0,17,8.4,+3
4,4,2023-10-30,24-285,TOR,,POR,L (-8),0,18:53,1,7,.143,0,1,.000,1,3,.333,0,1,1,2,1,0,0,2,3,-0.4,-10
5,5,2023-11-01,24-287,TOR,,MIL,W (+19),0,23:25,4,11,.364,0,5,.000,0,0,,1,2,3,1,0,0,1,2,8,2.1,+8
6,6,2023-11-02,24-288,TOR,@,PHI,L (-15),0,23:08,2,8,.250,2,5,.400,2,4,.500,0,5,5,0,1,0,3,1,8,1.5,-15
7,7,2023-11-05,24-291,TOR,@,SAS,W (+7),0,29:01,4,8,.500,2,4,.500,0,0,,0,0,0,0,1,0,2,1,10,4.6,-1
8,8,2023-11-08,24-294,TOR,@,DAL,W (+11),0,26:07,6,11,.545,4,8,.500,0,0,,0,2,2,1,1,0,0,0,16,13.0,+9
9,,2023-11-11,24-297,TOR,@,BOS,L (-23),,,,,,,,,,,,,,,,,,,,,,
10,,2023-11-13,24-299,TOR,,WAS,W (+4),,,,,,,,,,,,,,,,,,,,,,
11,,2023-11-15,24-301,TOR,,MIL,L (-16),,,,,,,,,,,,,,,,,,,,,,
12,9,2023-11-17,24-303,TOR,,BOS,L (-3),1,31:02,4,9,.444,3,5,.600,3,4,.750,0,2,2,1,1,0,0,0,14,11.2,+14
13,10,2023-11-19,24-305,TOR,,DET,W (+29),0,26:26,6,12,.500,2,7,.286,4,4,1.000,0,1,1,3,1,1,0,1,18,15.7,+20
14,11,2023-11-21,24-307,TOR,@,ORL,L (-19),0,20:37,1,6,.167,1,2,.500,0,0,,0,0,0,1,0,0,0,1,3,-0.5,-3
15,12,2023-11-22,24-308,TOR,@,IND,W (+1),0,25:03,2,5,.400,2,4,.500,2,4,.500,0,1,1,1,1,0,2,1,8,4.1,+14
16,13,2023-11-24,24-310,TOR,,CHI,W (+13),0,20:30,6,13,.462,4,9,.444,0,0,,0,1,1,2,1,0,0,3,16,10.8,-4
17,14,2023-11-26,24-312,TOR,@,CLE,L (-3),0,25:39,5,13,.385,1,7,.143,2,2,1.000,0,1,1,0,1,0,1,0,13,6.2,+10
18,15,2023-11-28,24-314,TOR,@,BRK,L (-12),0,24:46,7,12,.583,1,4,.250,0,0,,0,2,2,1,1,0,0,1,15,11.3,-6
19,16,2023-11-29,24-315,TOR,,PHO,W (+7),0,25:09,5,13,.385,3,7,.429,0,0,,0,5,5,2,0,0,0,1,13,8.4,0
20,17,2023-12-01,24-317,TOR,,NYK,L (-13),0,22:34,2,6,.333,0,1,.000,0,1,.000,0,1,1,4,0,0,0,0,4,3.3,-18
21,18,2023-12-06,24-322,TOR,,MIA,L (-9),0,25:09,5,11,.455,3,7,.429,2,2,1.000,0,2,2,2,0,0,1,3,15,9.1,+7
22,19,2023-12-08,24-324,TOR,@,CHO,L (-3),0,20:02,0,7,.000,0,3,.000,0,0,,0,2,2,2,0,0,0,0,0,-2.9,-7
23,20,2023-12-11,24-327,TOR,@,NYK,L (-6),0,19:28,2,8,.250,0,4,.000,0,0,,1,0,1,2,0,0,0,0,4,1.3,+3
24,21,2023-12-13,24-329,TOR,,ATL,W (+7),0,20:04,4,11,.364,4,8,.500,0,0,,0,0,0,1,0,0,0,0,12,6.6,-8
25,22,2023-12-15,24-331,TOR,,ATL,L (-21),0,20:28,3,8,.375,2,5,.400,0,0,,0,2,2,3,0,0,1,1,8,4.9,-11
26,23,2023-12-18,24-334,TOR,,CHO,W (+15),0,34:45,9,17,.529,4,10,.400,0,0,,0,10,10,3,1,0,1,1,22,18.4,+25
27,24,2023-12-20,24-336,TOR,,DEN,L (-9),0,28:37,4,9,.444,1,5,.200,3,3,1.000,0,3,3,4,0,0,1,0,12,10.0,-11
28,25,2023-12-22,24-338,TOR,@,PHI,L (-10),0,25:33,6,11,.545,5,8,.625,0,0,,1,3,4,1,1,0,0,3,17,13.8,-10
29,26,2023-12-23,24-339,TOR,,UTA,L (-7),0,27:42,6,12,.500,4,9,.444,0,0,,0,0,0,0,0,0,2,0,16,8.0,-10
30,27,2023-12-27,24-343,TOR,@,WAS,W (+30),1,26:22,4,10,.400,3,8,.375,1,2,.500,0,2,2,4,2,0,1,1,12,10.2,+8
31,28,2023-12-29,24-345,TOR,@,BOS,L (-2),1,28:58,2,10,.200,1,4,.250,1,2,.500,0,4,4,1,2,0,0,0,6,3.3,-10
32,29,2023-12-30,24-346,TOR,@,DET,L (-2),1,39:28,8,16,.500,6,9,.667,2,2,1.000,0,1,1,4,4,1,0,3,24,22.6,+4
33,30,2024-01-01,24-348,TOR,,CLE,W (+3),0,26:04,3,10,.300,1,5,.200,2,2,1.000,2,4,6,2,1,0,0,1,9,7.8,-1
34,31,2024-01-03,24-350,TOR,@,MEM,W (+5),0,21:27,2,5,.400,1,1,1.000,0,0,,0,1,1,0,1,0,2,2,5,0.8,+2
35,,2024-01-05,24-352,TOR,@,SAC,L (-5),,,,,,,,,,,,,,,,,,,,,,
36,32,2024-01-07,24-354,TOR,@,GSW,W (+15),0,26:24,6,11,.545,2,5,.400,0,0,,0,1,1,1,2,1,0,1,14,12.0,+10
37,33,2024-01-09,24-356,TOR,@,LAL,L (-1),0,23:39,5,10,.500,4,6,.667,0,0,,0,1,1,1,0,0,0,1,14,9.6,-6
38,34,2024-01-10,24-357,TOR,@,LAC,L (-6),0,24:10,5,9,.556,2,4,.500,0,0,,1,2,3,2,0,0,0,1,12,10.0,-9
39,35,2024-01-12,24-359,TOR,@,UTA,L (-32),0,21:41,2,6,.333,1,2,.500,0,0,,1,0,1,2,0,0,1,1,5,2.3,-6
40,,2024-01-15,24-362,TOR,,BOS,L (-9),,,,,,,,,,,,,,,,,,,,,,
41,36,2024-01-17,24-364,TOR,,MIA,W (+24),1,30:52,10,13,.769,8,9,.889,0,0,,0,2,2,0,1,0,0,1,28,24.1,+14
42,37,2024-01-18,25-000,TOR,,CHI,L (-6),1,29:39,3,8,.375,0,4,.000,0,0,,0,2,2,2,0,0,2,3,6,0.4,-21
43,38,2024-01-20,25-002,TOR,@,NYK,L (-26),1,25:32,6,10,.600,4,8,.500,0,0,,0,1,1,0,1,1,1,4,16,10.8,-13
44,39,2024-01-22,25-004,TOR,,MEM,L (-8),1,23:36,2,6,.333,2,4,.500,0,0,,0,0,0,2,1,0,1,1,6,3.6,-2
45,40,2024-01-26,25-008,TOR,,LAC,L (-20),1,28:59,5,13,.385,3,8,.375,0,0,,0,1,1,3,0,0,0,1,13,7.9,-12
46,41,2024-01-28,25-010,TOR,@,ATL,L (-1),1,26:13,6,12,.500,4,8,.500,0,0,,0,1,1,0,2,0,1,5,16,9.3,-19
47,42,2024-01-30,25-012,TOR,@,CHI,W (+11),1,32:15,9,15,.600,6,11,.545,0,0,,0,5,5,1,1,0,2,1,24,17.9,+12
48,43,2024-02-02,25-015,TOR,@,HOU,L (-29),1,25:58,5,12,.417,2,5,.400,0,0,,2,2,4,0,2,0,1,1,12,8.2,-17
49,44,2024-02-04,25-017,TOR,@,OKC,L (-8),1,39:30,6,15,.400,4,8,.500,0,0,,0,6,6,0,2,0,1,2,16,9.9,-9
50,45,2024-02-05,25-018,TOR,@,NOP,L (-38),1,14:55,1,5,.200,0,2,.000,0,0,,0,1,1,0,0,0,0,0,2,-0.8,-16
