Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2021-10-20,21-058,SAS,,ORL,W (+26),0,25:07,8,12,.667,3,4,.750,0,0,,0,2,2,5,2,0,0,2,19,19.1,+24
2,2,2021-10-22,21-060,SAS,@,DEN,L (-6),0,20:13,2,7,.286,1,3,.333,1,2,.500,1,3,4,1,2,0,0,1,6,5.4,-22
3,3,2021-10-23,21-061,SAS,,MIL,L (-10),0,19:06,2,6,.333,0,4,.000,0,0,,2,1,3,0,1,0,2,3,4,0.1,-7
4,4,2021-10-26,21-064,SAS,,LAL,L (-4),0,35:17,7,16,.438,5,9,.556,0,2,.000,2,5,7,2,2,0,0,3,19,14.9,+10
5,5,2021-10-28,21-066,SAS,@,DAL,L (-5),0,27:16,3,9,.333,1,5,.200,0,0,,0,5,5,0,0,2,2,3,7,1.6,+13
6,6,2021-10-30,21-068,SAS,@,MIL,W (+9),0,24:00,0,6,.000,0,4,.000,4,4,1.000,0,8,8,2,1,0,0,1,4,4.2,+14
7,7,2021-11-01,21-070,SAS,@,IND,L (-13),0,27:14,6,12,.500,1,3,.333,2,3,.667,0,3,3,3,2,1,2,1,15,11.9,-8
8,8,2021-11-03,21-072,SAS,,DAL,L (-1),0,30:32,9,12,.750,3,6,.500,0,0,,0,3,3,1,0,2,2,1,21,16.8,+10
9,9,2021-11-05,21-074,SAS,@,ORL,W (+13),0,25:31,5,12,.417,1,3,.333,1,1,1.000,0,2,2,1,3,1,1,3,12,8.4,+9
10,10,2021-11-07,21-076,SAS,@,OKC,L (-5),0,24:47,3,12,.250,0,5,.000,0,0,,1,3,4,3,0,1,0,4,6,1.6,+1
11,11,2021-11-10,21-079,SAS,,SAC,W (+19),0,24:56,5,7,.714,5,7,.714,0,0,,0,5,5,1,1,0,0,4,15,13.7,+5
12,12,2021-11-12,21-081,SAS,,DAL,L (-14),0,29:45,6,11,.545,3,6,.500,5,6,.833,0,2,2,1,0,2,1,2,20,15.2,-5
13,13,2021-11-14,21-083,SAS,@,LAL,L (-8),0,29:42,6,11,.545,4,7,.571,3,4,.750,1,6,7,1,1,0,2,3,19,14.3,+7
14,14,2021-11-16,21-085,SAS,@,LAC,L (-14),0,19:06,1,4,.250,0,1,.000,0,0,,0,1,1,0,1,1,0,1,2,1.2,-16
15,15,2021-11-18,21-087,SAS,@,MIN,L (-25),0,24:25,8,14,.571,2,7,.286,0,0,,0,4,4,1,1,1,0,2,18,14.2,-7
16,16,2021-11-22,21-091,SAS,,PHO,L (-4),0,30:02,7,12,.583,3,6,.500,0,0,,1,2,3,1,2,0,1,0,17,14.4,-15
17,17,2021-11-24,21-093,SAS,,ATL,L (-18),0,22:23,1,6,.167,1,4,.250,0,0,,1,2,3,2,2,1,0,2,3,3.8,-16
18,,2021-11-26,21-095,SAS,,BOS,W (+8),,,,,,,,,,,,,,,,,,,,,,
19,,2021-11-29,21-098,SAS,,WAS,W (+17),,,,,,,,,,,,,,,,,,,,,,
20,18,2021-12-02,21-101,SAS,@,POR,W (+31),0,10:16,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2,1.0,+2
21,,2021-12-04,21-103,SAS,@,GSW,W (+5),,,,,,,,,,,,,,,,,,,,,,
22,,2021-12-06,21-105,SAS,@,PHO,L (-4),,,,,,,,,,,,,,,,,,,,,,
23,,2021-12-07,21-106,SAS,,NYK,L (-12),,,,,,,,,,,,,,,,,,,,,,
24,19,2021-12-09,21-108,SAS,,DEN,W (+12),0,17:25,4,8,.500,1,5,.200,0,0,,0,5,5,0,1,2,0,2,9,8.1,+8
25,20,2021-12-11,21-110,SAS,,DEN,L (-15),0,22:33,5,10,.500,2,5,.400,3,5,.600,1,4,5,4,0,0,0,1,15,13.5,-3
26,21,2021-12-12,21-111,SAS,,NOP,W (+15),0,21:12,1,7,.143,0,2,.000,0,0,,2,1,3,2,1,2,1,4,2,0.4,+5
27,22,2021-12-15,21-114,SAS,,CHO,L (-16),0,23:51,4,9,.444,0,2,.000,2,2,1.000,1,1,2,0,1,1,0,1,10,7.6,+1
28,23,2021-12-17,21-116,SAS,@,UTA,W (+2),0,24:28,5,10,.500,3,5,.600,0,0,,3,3,6,1,1,0,0,0,13,12.7,+8
29,24,2021-12-19,21-118,SAS,@,SAC,L (-7),1,27:46,5,7,.714,1,3,.333,0,0,,0,2,2,1,0,1,2,1,11,7.7,-4
30,25,2021-12-20,21-119,SAS,@,LAC,W (+24),0,25:31,3,11,.273,0,4,.000,0,0,,4,4,8,3,0,1,0,0,6,6.3,+21
31,26,2021-12-23,21-122,SAS,@,LAL,W (+28),0,19:04,2,8,.250,1,5,.200,0,0,,0,3,3,1,0,0,1,2,5,0.0,+15
32,27,2021-12-26,21-125,SAS,,DET,W (+35),0,19:02,3,8,.375,2,5,.400,0,0,,0,4,4,2,3,1,3,2,8,6.1,+18
33,28,2021-12-27,21-126,SAS,,UTA,L (-6),0,28:47,6,11,.545,1,3,.333,0,0,,1,5,6,0,0,0,0,2,13,9.1,+5
34,29,2021-12-31,21-130,SAS,@,MEM,L (-13),0,20:09,2,6,.333,0,4,.000,0,0,,0,3,3,1,0,1,1,0,4,1.9,-22
35,30,2022-01-01,21-131,SAS,@,DET,L (-1),1,41:04,7,16,.438,5,12,.417,0,0,,0,4,4,4,3,0,1,3,19,15.4,-4
36,31,2022-01-04,21-134,SAS,@,TOR,L (-25),1,28:23,6,13,.462,3,7,.429,0,0,,1,1,2,3,0,0,2,4,15,7.8,-19
37,32,2022-01-05,21-135,SAS,@,BOS,W (+2),1,32:12,7,14,.500,2,7,.286,1,1,1.000,0,6,6,0,0,2,2,4,17,9.6,+3
38,,2022-01-07,21-137,SAS,@,PHI,L (-19),,,,,,,,,,,,,,,,,,,,,,
39,,2022-01-09,21-139,SAS,@,BRK,L (-2),,,,,,,,,,,,,,,,,,,,,,
40,,2022-01-10,21-140,SAS,@,NYK,L (-15),,,,,,,,,,,,,,,,,,,,,,
41,33,2022-01-12,21-142,SAS,,HOU,L (-4),0,21:59,3,10,.300,1,6,.167,5,6,.833,0,5,5,0,0,1,0,4,12,6.4,-9
42,34,2022-01-14,21-144,SAS,,CLE,L (-5),1,28:02,4,11,.364,2,4,.500,0,0,,1,4,5,0,2,0,3,5,10,2.8,-14
43,35,2022-01-15,21-145,SAS,,LAC,W (+7),1,30:40,3,11,.273,2,7,.286,2,2,1.000,1,10,11,1,1,1,1,2,10,7.8,+9
44,36,2022-01-17,21-147,SAS,,PHO,L (-14),0,27:30,4,12,.333,2,7,.286,0,0,,0,4,4,0,1,0,0,3,10,4.2,-15
45,37,2022-01-19,21-149,SAS,,OKC,W (+22),0,22:33,7,10,.700,4,5,.800,1,2,.500,0,8,8,1,2,2,0,4,19,19.3,+20
46,38,2022-01-21,21-151,SAS,,BRK,L (-15),0,23:43,4,11,.364,0,5,.000,1,1,1.000,0,3,3,1,1,0,0,1,9,5.1,-1
47,39,2022-01-23,21-153,SAS,,PHI,L (-6),0,20:18,6,12,.500,3,6,.500,0,0,,1,3,4,1,0,0,0,3,15,10.1,-7
48,40,2022-01-25,21-155,SAS,@,HOU,W (+30),0,28:44,4,10,.400,4,5,.800,0,0,,0,4,4,6,0,1,0,2,12,11.9,+29
49,41,2022-01-26,21-156,SAS,,MEM,L (-8),0,29:52,8,16,.500,1,7,.143,3,4,.750,1,3,4,0,0,0,2,0,20,11.2,-8
50,42,2022-01-28,21-158,SAS,,CHI,W (+9),0,21:58,5,11,.455,1,5,.200,0,0,,0,4,4,2,0,0,0,3,11,6.7,-3
51,43,2022-01-30,21-160,SAS,@,PHO,L (-5),1,30:33,2,12,.167,1,5,.200,2,2,1.000,0,7,7,2,0,0,1,2,7,1.1,-19
52,44,2022-02-01,21-162,SAS,,GSW,L (-4),0,30:29,4,10,.400,4,7,.571,2,2,1.000,0,8,8,4,2,0,0,1,14,15.4,-5
53,45,2022-02-03,21-164,SAS,,MIA,L (-17),1,22:33,2,9,.222,1,6,.167,2,2,1.000,0,3,3,3,2,0,1,2,7,4.7,-8
54,46,2022-02-04,21-165,SAS,,HOU,W (+25),0,26:44,1,4,.250,0,2,.000,2,2,1.000,0,3,3,1,2,1,1,1,4,4.5,+27
55,47,2022-02-09,21-170,SAS,@,CLE,L (-13),0,28:12,8,16,.500,2,7,.286,0,0,,0,3,3,3,2,0,0,3,18,13.8,-5
56,48,2022-02-11,21-172,SAS,@,ATL,W (+15),1,28:08,9,13,.692,2,2,1.000,0,0,,1,4,5,3,1,0,0,1,20,19.1,+40
57,49,2022-02-12,21-173,SAS,@,NOP,W (+10),1,30:46,5,12,.417,3,6,.500,1,1,1.000,0,4,4,4,1,1,1,1,14,11.9,+13
58,50,2022-02-14,21-175,SAS,@,CHI,L (-11),1,24:13,2,10,.200,0,4,.000,1,1,1.000,0,0,0,1,1,1,1,2,5,-0.6,-4
59,51,2022-02-16,21-177,SAS,@,OKC,W (+8),1,33:20,6,14,.429,2,8,.250,1,1,1.000,1,4,5,6,0,1,1,1,15,13.0,+9
60,52,2022-02-25,21-186,SAS,@,WAS,W (+4),1,42:27,4,11,.364,1,7,.143,3,3,1.000,1,7,8,4,2,0,0,5,12,11.5,-7
61,53,2022-02-26,21-187,SAS,@,MIA,L (-4),1,27:29,8,17,.471,3,6,.500,3,3,1.000,1,4,5,4,1,1,3,0,22,16.7,-8
62,54,2022-02-28,21-189,SAS,@,MEM,L (-13),1,32:32,4,11,.364,1,3,.333,1,2,.500,1,4,5,5,1,0,0,3,10,8.7,-10
63,55,2022-03-03,21-192,SAS,,SAC,L (-3),1,28:52,5,12,.417,4,9,.444,0,0,,0,4,4,1,0,2,1,4,14,8.3,-10
64,56,2022-03-05,21-194,SAS,@,CHO,L (-6),1,29:16,6,13,.462,2,6,.333,0,0,,1,3,4,0,1,1,2,0,14,8.6,-3
65,,2022-03-07,21-196,SAS,,LAL,W (+7),,,,,,,,,,,,,,,,,,,,,,
66,57,2022-03-09,21-198,SAS,,TOR,L (-15),1,28:08,3,9,.333,1,5,.200,1,1,1.000,0,2,2,1,3,0,1,2,8,5.4,-1
