Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2019-10-24,21-035,ATL,@,DET,W (+17),1,37:15,11,21,.524,6,10,.600,10,12,.833,0,7,7,9,1,0,6,0,38,30.3,+17
2,2,2019-10-26,21-037,ATL,,ORL,W (+4),1,35:59,16,25,.640,5,10,.500,2,4,.500,0,7,7,9,2,0,5,2,39,31.7,+14
3,3,2019-10-28,21-039,ATL,,PHI,L (-2),1,34:29,7,20,.350,2,5,.400,9,10,.900,1,3,4,9,0,0,7,3,25,13.1,+1
4,4,2019-10-29,21-040,ATL,@,MIA,L (-15),1,11:04,2,5,.400,1,3,.333,0,0,,1,1,2,2,1,0,2,0,5,3.7,-4
5,,2019-10-31,21-042,ATL,,MIA,L (-9),,,,,,,,,,,,,,,,,,,,,,
6,5,2019-11-05,21-047,ATL,,SAS,W (+8),1,29:44,10,23,.435,5,10,.500,4,6,.667,0,2,2,13,2,0,3,1,29,24.4,+2
7,6,2019-11-06,21-048,ATL,,CHI,L (-20),1,29:12,3,12,.250,0,8,.000,3,3,1.000,0,3,3,3,0,0,4,1,9,0.4,-16
8,7,2019-11-08,21-050,ATL,,SAC,L (-12),1,39:36,12,22,.545,3,10,.300,3,3,1.000,2,0,2,12,5,0,5,0,30,29.2,-6
9,8,2019-11-10,21-052,ATL,@,POR,L (-11),1,42:58,9,30,.300,3,13,.231,14,17,.824,2,6,8,10,3,0,7,2,35,21.8,-17
10,9,2019-11-12,21-054,ATL,@,DEN,W (+4),1,41:20,13,21,.619,8,13,.615,8,11,.727,0,4,4,11,0,1,6,1,42,34.5,+7
11,10,2019-11-14,21-056,ATL,@,PHO,L (-16),1,35:47,7,18,.389,1,6,.167,6,7,.857,0,1,1,13,2,0,5,2,21,16.4,-17
12,11,2019-11-16,21-058,ATL,@,LAC,L (-49),1,28:50,4,16,.250,2,7,.286,10,12,.833,0,5,5,6,1,0,3,2,20,12.5,-30
13,12,2019-11-17,21-059,ATL,@,LAL,L (-21),1,39:03,11,22,.500,2,8,.250,7,8,.875,0,3,3,7,2,0,8,1,31,19.0,-16
14,13,2019-11-20,21-062,ATL,,MIL,L (-8),1,33:02,8,22,.364,1,5,.200,8,10,.800,1,1,2,8,3,0,2,0,25,19.6,-21
15,14,2019-11-22,21-064,ATL,@,DET,L (-25),1,31:40,3,12,.250,1,7,.143,2,2,1.000,0,6,6,8,1,0,5,0,9,5.2,-14
16,15,2019-11-23,21-065,ATL,,TOR,L (-3),1,41:23,11,23,.478,4,11,.364,4,4,1.000,0,10,10,10,1,0,3,1,30,25.9,-4
17,16,2019-11-25,21-067,ATL,,MIN,L (-12),1,34:34,11,28,.393,5,11,.455,10,11,.909,2,4,6,9,0,0,7,2,37,22.5,-7
18,17,2019-11-27,21-069,ATL,@,MIL,L (-9),1,35:06,12,24,.500,3,7,.429,2,2,1.000,0,4,4,7,1,0,3,3,29,19.9,+3
19,18,2019-11-29,21-071,ATL,@,IND,L (-1),1,42:39,16,28,.571,8,15,.533,9,9,1.000,0,1,1,6,2,0,9,1,49,32.9,+1
20,19,2019-11-30,21-072,ATL,@,HOU,L (-47),1,31:23,10,16,.625,5,9,.556,12,13,.923,0,3,3,7,0,0,3,0,37,32.2,-24
21,20,2019-12-02,21-074,ATL,,GSW,W (+25),1,33:51,10,19,.526,2,6,.333,2,2,1.000,0,1,1,7,0,0,7,2,24,12.1,+8
22,21,2019-12-04,21-076,ATL,,BRK,L (-12),1,37:15,13,23,.565,5,9,.556,8,10,.800,1,2,3,10,1,0,6,1,39,30.2,+1
23,22,2019-12-08,21-080,ATL,@,CHO,W (+15),1,35:00,9,20,.450,4,13,.308,8,8,1.000,1,6,7,9,0,0,2,4,30,24.8,+18
24,23,2019-12-10,21-082,ATL,@,MIA,L (-14),1,41:08,7,19,.368,3,11,.273,4,5,.800,0,4,4,9,0,0,4,4,21,12.0,-24
25,24,2019-12-11,21-083,ATL,@,CHI,L (-34),1,31:44,4,14,.286,1,6,.167,6,7,.857,0,2,2,13,2,0,7,3,15,9.9,-17
26,25,2019-12-13,21-085,ATL,,IND,L (-10),1,37:22,9,30,.300,3,10,.300,2,2,1.000,2,5,7,8,0,1,2,2,23,12.0,-2
27,26,2019-12-15,21-087,ATL,,LAL,L (-5),1,36:27,9,22,.409,3,11,.273,9,11,.818,1,5,6,7,2,0,6,2,30,19.7,-4
28,27,2019-12-17,21-089,ATL,@,NYK,L (-23),1,41:20,16,29,.552,7,13,.538,3,4,.750,0,4,4,8,0,0,3,1,42,31.1,-18
29,28,2019-12-19,21-091,ATL,,UTA,L (-5),1,40:56,9,28,.321,3,11,.273,9,11,.818,1,4,5,8,1,0,2,2,30,18.9,-6
30,29,2019-12-21,21-093,ATL,@,BRK,L (-10),1,40:21,14,30,.467,3,12,.250,16,19,.842,1,7,8,6,1,0,5,1,47,33.0,+5
31,30,2019-12-23,21-095,ATL,@,CLE,L (-3),1,36:08,9,21,.429,5,14,.357,7,9,.778,0,6,6,11,4,0,5,2,30,25.8,-3
32,31,2019-12-27,21-099,ATL,,MIL,L (-26),1,15:12,3,6,.500,2,4,.500,4,6,.667,0,0,0,2,0,0,4,1,12,5.2,-25
33,,2019-12-28,21-100,ATL,@,CHI,L (-35),,,,,,,,,,,,,,,,,,,,,,
34,,2019-12-30,21-102,ATL,@,ORL,W (+8),,,,,,,,,,,,,,,,,,,,,,
35,32,2020-01-03,21-106,ATL,@,BOS,L (-3),1,36:43,9,23,.391,5,14,.357,5,6,.833,0,5,5,10,0,0,6,3,28,16.4,+4
36,33,2020-01-04,21-107,ATL,,IND,W (+5),1,37:00,12,23,.522,5,13,.385,12,14,.857,0,4,4,8,2,0,4,3,41,32.5,+6
37,34,2020-01-06,21-109,ATL,,DEN,L (-8),1,39:27,8,12,.667,4,5,.800,9,9,1.000,0,4,4,12,0,0,7,4,29,24.8,+7
38,35,2020-01-08,21-111,ATL,,HOU,L (-7),1,38:35,11,30,.367,4,11,.364,16,18,.889,4,9,13,10,0,1,3,1,42,34.4,+4
39,36,2020-01-10,21-113,ATL,@,WAS,L (-10),1,31:21,7,20,.350,0,7,.000,5,8,.625,0,4,4,7,2,0,6,1,19,8.3,-19
40,,2020-01-12,21-115,ATL,@,BRK,L (-22),,,,,,,,,,,,,,,,,,,,,,
41,37,2020-01-14,21-117,ATL,,PHO,W (+13),1,37:47,11,25,.440,5,12,.417,9,11,.818,2,2,4,10,2,1,6,2,36,27.0,+22
42,38,2020-01-17,21-120,ATL,@,SAS,W (+1),1,34:46,10,16,.625,6,9,.667,5,7,.714,1,4,5,9,1,1,3,0,31,29.9,+8
43,39,2020-01-18,21-121,ATL,,DET,L (-33),1,27:24,6,16,.375,2,7,.286,2,4,.500,1,7,8,7,1,0,4,1,16,10.7,-30
44,40,2020-01-20,21-123,ATL,,TOR,L (-5),1,39:01,11,20,.550,2,7,.286,18,21,.857,1,5,6,15,1,0,7,3,42,36.7,+1
45,,2020-01-22,21-125,ATL,,LAC,W (+7),,,,,,,,,,,,,,,,,,,,,,
46,41,2020-01-24,21-127,ATL,@,OKC,L (-29),1,33:44,7,20,.350,2,8,.250,10,12,.833,0,2,2,16,1,0,1,0,26,25.8,-14
47,42,2020-01-26,21-129,ATL,,WAS,W (+19),1,38:59,13,24,.542,6,11,.545,13,16,.813,1,5,6,14,1,0,5,2,45,39.4,+22
48,43,2020-01-28,21-131,ATL,@,TOR,L (-16),1,28:21,5,13,.385,1,7,.143,7,8,.875,1,1,2,13,0,0,7,2,18,12.8,-9
49,44,2020-01-30,21-133,ATL,,PHI,W (+10),1,38:07,9,22,.409,3,9,.333,18,20,.900,1,5,6,18,2,0,7,2,39,35.4,+17
50,45,2020-02-01,21-135,ATL,@,DAL,L (-23),1,26:18,4,13,.308,1,6,.167,3,4,.750,1,5,6,1,0,0,4,2,12,2.2,-13
51,46,2020-02-03,21-137,ATL,,BOS,L (-8),1,35:30,10,20,.500,4,11,.364,10,11,.909,0,3,3,7,2,0,9,2,34,21.6,-13
52,47,2020-02-05,21-139,ATL,@,MIN,W (+7),1,37:11,10,23,.435,6,13,.462,12,13,.923,0,4,4,11,1,0,3,3,38,31.2,+6
53,,2020-02-07,21-141,ATL,@,BOS,L (-5),,,,,,,,,,,,,,,,,,,,,,
54,48,2020-02-09,21-143,ATL,,NYK,W (+5),1,47:40,13,30,.433,6,13,.462,16,16,1.000,0,1,1,13,2,0,7,1,48,36.2,+10
55,49,2020-02-10,21-144,ATL,@,ORL,L (-9),1,33:36,7,19,.368,3,11,.273,12,13,.923,0,1,1,9,0,0,4,0,29,20.7,-21
56,50,2020-02-12,21-146,ATL,@,CLE,L (-22),1,37:08,8,17,.471,2,7,.286,9,11,.818,0,3,3,12,2,0,4,4,27,23.2,-10
57,51,2020-02-20,21-154,ATL,,MIA,W (+5),1,39:32,12,25,.480,8,15,.533,18,19,.947,0,2,2,8,2,1,7,4,50,37.2,+10
58,52,2020-02-22,21-156,ATL,,DAL,W (+4),1,40:25,10,21,.476,3,8,.375,2,3,.667,0,6,6,10,0,0,5,2,25,16.9,+5
59,53,2020-02-24,21-158,ATL,@,PHI,L (-17),1,36:34,10,22,.455,2,11,.182,6,6,1.000,0,7,7,10,0,0,3,3,28,21.5,-17
60,54,2020-02-26,21-160,ATL,,ORL,L (-10),1,38:13,10,27,.370,4,12,.333,13,14,.929,0,2,2,11,1,1,2,0,37,29.7,0
61,55,2020-02-28,21-162,ATL,,BRK,W (+23),1,30:50,6,18,.333,1,6,.167,9,10,.900,0,2,2,14,1,0,3,2,22,19.0,+14
62,56,2020-02-29,21-163,ATL,,POR,W (+12),1,34:39,7,18,.389,1,8,.125,10,10,1.000,1,3,4,15,0,0,2,2,25,24.5,+8
63,57,2020-03-02,21-165,ATL,,MEM,L (-39),1,29:13,5,17,.294,0,4,.000,9,9,1.000,0,1,1,2,1,1,7,0,19,5.5,-19
64,,2020-03-06,21-169,ATL,@,WAS,L (-6),,,,,,,,,,,,,,,,,,,,,,
65,58,2020-03-07,21-170,ATL,@,MEM,L (-17),1,28:55,4,16,.250,1,10,.100,7,9,.778,0,5,5,4,2,0,5,2,16,6.1,-14
66,59,2020-03-09,21-172,ATL,,CHO,W (+5),1,43:33,11,25,.440,6,13,.462,3,4,.750,0,4,4,16,0,0,6,3,31,22.7,+9
67,60,2020-03-11,21-174,ATL,,NYK,L (-5),1,37:45,12,25,.480,6,12,.500,12,15,.800,2,0,2,11,0,0,6,3,42,30.0,-4
