,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,player_id
6,Ibou Badji,2024,2024,C,7-1,240,"October 13, 2002",,badjiib01
10,Marvin Bagley III,2019,2024,F-C,6-10,235,"March 14, 1999",Duke,baglema01
11,Amari Bailey,2024,2024,G,6-5,185,"February 17, 2004",UCLA,baileam01
24,Patrick Baldwin Jr.,2023,2024,G-F,6-9,220,"November 18, 2002",UW-Milwaukee,baldwpa01
28,LaMelo Ball,2021,2024,G,6-7,180,"August 22, 2001",,ballla01
32,Mo Bamba,2019,2024,C,7-0,231,"May 12, 1998",Texas,bambamo01
33,Paolo Banchero,2023,2024,F,6-10,250,"November 12, 2002",Duke,banchpa01
34,Desmond Bane,2021,2024,G,6-5,215,"June 25, 1998",TCU,banede01
40,Dalano Banton,2022,2024,G-F,6-9,204,"November 7, 1999",Nebraska,bantoda01
52,Dominick Barlow,2023,2024,F,6-9,221,"May 26, 2003",,barlodo01
53,Harrison Barnes,2013,2024,F,6-8,225,"May 30, 1992",UNC,barneha02
58,Scottie Barnes,2022,2024,G-F,6-7,227,"August 1, 2001",Florida State,barnesc01
71,RJ Barrett,2020,2024,G-F,6-6,214,"June 14, 2000",Duke,barrerj01
86,Charles Bassey,2022,2024,C,6-10,235,"October 28, 2000",Western Kentucky,bassech01
90,Emoni Bates,2024,2024,G,6-10,170,"January 28, 2004","Memphis, Eastern Michigan",batesem01
91,Keita Bates-Diop,2019,2024,F,6-8,229,"January 23, 1996",Ohio State,bateske01
100,Nicolas Batum,2009,2024,F-G,6-8,230,"December 14, 1988",,batumni01
112,Bradley Beal,2013,2024,G,6-4,207,"June 28, 1993",Florida,bealbr01
119,Malik Beasley,2017,2024,G,6-4,187,"November 26, 1996",Florida State,beaslma01
123,MarJon Beauchamp,2023,2024,G,6-6,199,"October 12, 2000",Yakima Valley Community College,beaucma01
164,Jules Bernard,2024,2024,F,6-7,210,"January 21, 2000",UCLA,bernaju01
168,Dāvis Bertāns,2017,2024,F,6-10,225,"November 12, 1992",,bertndv01
171,Patrick Beverley,2013,2024,G,6-2,180,"July 12, 1988",Arkansas,beverpa01
172,Saddiq Bey,2021,2024,F,6-7,215,"April 9, 1999",Villanova,beysa01
194,Goga Bitadze,2020,2024,C,6-11,250,"July 20, 1999",,bitadgo01
195,Onuralp Bitim,2024,2024,F,6-6,215,"March 31, 1999",,bitimon01
196,Bismack Biyombo,2012,2024,C-F,6-8,255,"August 28, 1992",,biyombi01
199,Anthony Black,2024,2024,G,6-7,198,"January 20, 2004",Arkansas,blackan01
201,Leaky Black,2024,2024,F,6-9,205,"June 14, 1999",UNC,blackle01
235,Bogdan Bogdanović,2018,2024,G,6-5,220,"August 18, 1992",,bogdabo02
236,Bojan Bogdanović,2015,2024,G-F,6-7,226,"April 18, 1989",,bogdabo01
240,Bol Bol,2020,2024,F-C,7-3,220,"November 16, 1999",Oregon,bolbo01
243,Marques Bolden,2020,2024,C,6-10,249,"April 17, 1998",Duke,boldema01
258,Devin Booker,2016,2024,G,6-6,206,"October 30, 1996",Kentucky,bookede01
274,Brandon Boston Jr.,2022,2024,G-F,6-7,185,"November 28, 2001",Kentucky,bostobr01
277,Chris Boucher,2018,2024,F,6-9,200,"January 11, 1993",Oregon,bouchch01
278,James Bouknight,2022,2024,G,6-5,190,"September 18, 2000",UConn,bouknja01
280,Jamaree Bouyea,2023,2024,G,6-2,180,"June 27, 1999",San Francisco,bouyeja01
323,Malaki Branham,2023,2024,G,6-4,180,"May 12, 2003",Ohio State,branhma01
331,Christian Braun,2023,2024,G,6-6,218,"April 17, 2001",Kansas,braunch01
348,Mikal Bridges,2019,2024,F-G,6-6,209,"August 30, 1996",Villanova,bridgmi01
349,Miles Bridges,2019,2024,G-F,6-7,225,"March 21, 1998",Michigan State,bridgmi02
355,Oshae Brissett,2020,2024,F,6-7,210,"June 20, 1998",Syracuse,brissos01
364,Malcolm Brogdon,2017,2024,G,6-4,229,"December 11, 1992",Virginia,brogdma01
369,Armoni Brooks,2021,2024,G,6-3,195,"June 5, 1998",Houston,brookar01
370,Dillon Brooks,2018,2024,F-G,6-6,225,"January 22, 1996",Oregon,brookdi01
379,Bruce Brown,2019,2024,G-F,6-4,202,"August 15, 1996",Miami (FL),brownbr01
380,Charlie Brown Jr.,2020,2024,G,6-6,199,"February 2, 1997",Saint Joseph's,brownch02
393,Greg Brown III,2022,2024,F,6-7,205,"September 1, 2001",Texas,browngr01
396,Jaylen Brown,2017,2024,F-G,6-6,223,"October 24, 1996",California,brownja02
399,Kendall Brown,2023,2024,G-F,6-8,205,"May 11, 2003",Baylor,brownke02
400,Kobe Brown,2024,2024,G-F,6-7,250,"January 1, 2000",Missouri,brownko01
409,Moses Brown,2020,2024,C,7-2,245,"October 13, 1999",UCLA,brownmo01
422,Troy Brown Jr.,2019,2024,G-F,6-6,215,"July 28, 1999",Oregon,browntr01
427,Jalen Brunson,2019,2024,G,6-2,190,"August 31, 1996",Villanova,brunsja01
435,Thomas Bryant,2018,2024,C,6-10,248,"July 31, 1997",Indiana,bryanth01
449,Kobe Bufkin,2024,2024,G,6-4,195,"September 21, 2003",Michigan,bufkiko01
452,Reggie Bullock,2014,2024,G-F,6-6,205,"March 16, 1991",UNC,bullore01
462,Alec Burks,2012,2024,G,6-6,214,"July 20, 1991",Colorado,burksal01
485,Jared Butler,2022,2024,G,6-3,195,"August 25, 2000",Baylor,butleja02
486,Jimmy Butler,2012,2024,F-G,6-7,230,"September 14, 1989",Marquette,butleji01
