,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,player_id
6,Jamal Cain,2023,2024,F,6-7,191,"March 20, 1999","Marquette, Oakland",cainja01
13,Kentavious Caldwell-Pope,2014,2024,G,6-5,204,"February 18, 1993",Georgia,caldwke01
21,Toumani Camara,2024,2024,F,6-8,220,"May 8, 2000",Dayton,camarto01
31,Clint Capela,2015,2024,C,6-10,240,"May 18, 1994",,capelcl01
64,Jevon Carter,2019,2024,G,6-1,200,"September 14, 1995",West Virginia,carteje01
69,Wendell Carter Jr.,2019,2024,C,6-10,270,"April 16, 1999",Duke,cartewe01
73,Alex Caruso,2018,2024,G,6-5,186,"February 28, 1994",Texas A&M,carusal01
78,Colin Castleton,2024,2024,F,6-11,250,"May 25, 2000","Michigan, Florida",castlco01
90,Malcolm Cazalon,2024,2024,G,6-6,212,"August 27, 2001",,cazalma01
100,Julian Champagnie,2023,2024,F,6-8,220,"June 29, 2001",St. John's,champju02
132,Max Christie,2023,2024,G,6-6,190,"February 10, 2003",Michigan State,chrisma02
140,Sidy Cissoko,2024,2024,G,6-8,200,"April 2, 2004",,cissosi01
150,Jordan Clarkson,2015,2024,G,6-3,194,"June 7, 1992","Tulsa, Missouri",clarkjo01
155,Nic Claxton,2020,2024,C,6-11,215,"April 17, 1999",Georgia,claxtni01
165,Noah Clowney,2024,2024,F,6-10,210,"July 14, 2004",Alabama,clownno01
169,Amir Coffey,2020,2024,G,6-7,210,"June 17, 1997",Minnesota,coffeam01
188,John Collins,2018,2024,F,6-9,235,"September 23, 1997",Wake Forest,collijo01
191,Zach Collins,2018,2024,C-F,6-11,250,"November 19, 1997",Gonzaga,colliza01
208,Mike Conley,2008,2024,G,6-0,175,"October 11, 1987",Ohio State,conlemi01
211,Pat Connaughton,2016,2024,G,6-5,209,"January 6, 1993",Notre Dame,connapa01
254,Bilal Coulibaly,2024,2024,F,6-6,195,"July 26, 2004",,coulibi01
255,Ricky Council IV,2024,2024,G,6-6,205,"August 3, 2001","Wichita State, Arkansas",councri01
262,Robert Covington,2014,2024,F-C,6-7,209,"December 14, 1990",Tennessee State,covinro01
268,Torrey Craig,2018,2024,G-F,6-7,221,"December 19, 1990",USC Upstate,craigto01
296,Jae Crowder,2013,2024,F,6-6,235,"July 6, 1990",Marquette,crowdja01
304,Cade Cunningham,2022,2024,G,6-6,220,"September 25, 2001",Oklahoma State,cunnica01
318,Seth Curry,2014,2024,G,6-1,185,"August 23, 1990","Liberty, Duke",curryse01
319,Stephen Curry,2010,2024,G,6-2,185,"March 14, 1988",Davidson,curryst01
