,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,player_id
10,Dyson Daniels,2023,2024,G,6-8,199,"March 17, 2003",,daniedy01
33,Anthony Davis,2013,2024,F-C,6-10,253,"March 11, 1993",Kentucky,davisan02
54,Johnny Davis,2023,2024,G,6-5,196,"February 27, 2002",Wisconsin,davisjo03
76,JD Davison,2023,2024,G,6-1,195,"October 3, 2002",Alabama,davisjd01
96,DeMar DeRozan,2010,2024,G-F,6-6,220,"August 7, 1989",USC,derozde01
121,Dexter Dennis,2024,2024,G,6-5,210,"February 9, 1999","Wichita State, Texas A&M",dennide01
129,Donte DiVincenzo,2019,2024,G,6-4,203,"January 31, 1997",Villanova,divindo01
130,Moussa Diabate,2023,2024,F,6-11,210,"January 21, 2002",Michigan,diabamo01
131,Mamadi Diakite,2021,2024,F,6-9,228,"January 21, 1997",Virginia,diakima01
134,Hamidou Diallo,2019,2024,G,6-5,202,"July 31, 1998",Kentucky,diallha01
138,Gradey Dick,2024,2024,G,6-6,205,"November 20, 2003",Kansas,dickgr01
149,Ousmane Dieng,2023,2024,F,6-10,216,"May 21, 2003",,diengou01
161,Spencer Dinwiddie,2015,2024,G,6-5,215,"April 6, 1993",Colorado,dinwisp01
173,Luka Doncic,2019,2024,G-F,6-7,230,"February 28, 1999",,doncilu01
183,Luguentz Dort,2020,2024,G,6-3,215,"April 19, 1999",Arizona State,dortlu01
184,Ayo Dosunmu,2022,2024,G,6-5,200,"January 17, 2000",Illinois,dosunay01
217,Andre Drummond,2013,2024,C,6-11,279,"August 10, 1993",UConn,drumman01
219,Chris Duarte,2022,2024,G,6-6,190,"June 13, 1997",Oregon,duartch01
240,Kris Dunn,2017,2024,G,6-3,205,"March 18, 1994",Providence,dunnkr01
244,Kevin Durant,2008,2024,F-G,6-11,240,"September 29, 1988",Texas,duranke01
245,Jalen Duren,2023,2024,C,6-10,250,"November 18, 2003",Memphis,durenja01
