,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,player_id
33,Bruno Fernando,2020,2024,F,6-9,240,"August 15, 1998",Maryland,fernabr01
52,Dorian Finney-Smith,2017,2024,F,6-7,220,"May 4, 1993",Florida,finnedo01
69,Malachi Flynn,2021,2024,G,6-1,175,"May 10, 1998","Washington State, San Diego State",flynnma01
75,Simone Fontecchio,2023,2024,F,6-8,209,"December 9, 1995",,fontesi01
86,Jordan Ford,2024,2024,G,6-1,175,"May 26, 1998",Saint Mary's,fordjo01
93,Trent Forrest,2021,2024,G,6-4,210,"June 12, 1998",Florida State,forretr01
104,Evan Fournier,2013,2024,G-F,6-6,205,"October 29, 1992",,fournev01
109,De'Aaron Fox,2018,2024,G,6-3,185,"December 20, 1997",Kentucky,foxde01
136,Javon Freeman-Liberty,2024,2024,G,6-4,180,"October 20, 1999","Valparaiso, DePaul",freemja01
145,Alex Fudge,2024,2024,F,6-8,200,"May 6, 2003","LSU, Florida",fudgeal01
152,Markelle Fultz,2018,2024,G,6-4,209,"May 29, 1998",Washington,fultzma01
