,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,player_id
3,Daniel Gafford,2020,2024,C-F,6-10,234,"October 1, 1998",Arkansas,gaffoda01
15,Danilo Gallinari,2009,2024,F,6-10,233,"August 8, 1988",,gallida01
31,Darius Garland,2020,2024,G,6-1,192,"January 26, 2000",Vanderbilt,garlada01
51,Usman Garuba,2022,2024,F,6-8,220,"March 9, 2002",,garubus01
53,Luka Garza,2022,2024,F-C,6-10,235,"December 27, 1998",Iowa,garzalu01
57,Kaiser Gates,2024,2024,F,6-8,217,"November 8, 1996",Xavier,gateska01
70,Keyonte George,2024,2024,G,6-4,185,"November 8, 2003",Baylor,georgke01
71,Paul George,2011,2024,F-G,6-8,220,"May 2, 1990",Fresno State,georgpa01
86,Taj Gibson,2010,2024,F-C,6-9,232,"June 24, 1985",USC,gibsota01
88,Josh Giddey,2022,2024,G,6-8,210,"October 10, 2002",,giddejo01
90,Harry Giles,2019,2024,F-C,6-11,240,"April 22, 1998",Duke,gilesha01
91,Shai Gilgeous-Alexander,2019,2024,G,6-6,180,"July 12, 1998",Kentucky,gilgesh01
92,Anthony Gill,2021,2024,F,6-7,230,"October 17, 1992","South Carolina, Virginia",gillan01
96,Collin Gillespie,2024,2024,G,6-1,195,"June 25, 1999",Villanova,gilleco01
104,Jacob Gilyard,2023,2024,G,5-9,160,"July 14, 1998",Richmond,gilyaja01
118,Rudy Gobert,2014,2024,C,7-1,258,"June 26, 1992",,goberru01
131,Jordan Goodwin,2022,2024,G,6-3,200,"October 23, 1998",Saint Louis,goodwjo01
133,Aaron Gordon,2015,2024,F,6-8,235,"September 16, 1995",Arizona,gordoaa01
136,Eric Gordon,2009,2024,G-F,6-3,215,"December 25, 1988",Indiana,gordoer01
147,Devonte' Graham,2019,2024,G,6-1,195,"February 22, 1995",Kansas,grahade01
165,Jerami Grant,2015,2024,F,6-7,210,"March 12, 1994",Syracuse,grantje01
188,A.J. Green,2023,2024,G,6-4,200,"September 27, 1999",University of Northern Iowa,greenaj01
189,Danny Green,2010,2024,G-F,6-6,215,"June 22, 1987",UNC,greenda02
191,Draymond Green,2013,2024,F,6-6,230,"March 4, 1990",Michigan State,greendr01
194,Jalen Green,2022,2024,G,6-4,178,"February 9, 2002",,greenja03
197,Jeff Green,2008,2024,F,6-8,235,"August 28, 1986",Georgetown,greenje02
199,Josh Green,2021,2024,G-F,6-5,200,"November 16, 2000",Arizona,greenjo02
227,AJ Griffin,2023,2024,F,6-6,222,"August 25, 2003",Duke,griffaj01
235,Quentin Grimes,2022,2024,G,6-5,205,"May 8, 2000","Kansas, Houston",grimequ01
250,Mouhamed Gueye,2024,2024,F,6-11,210,"November 9, 2002",Washington State,gueyemo01
