,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,player_id
0,Rui Hachimura,2020,2024,F,6-8,230,"February 8, 1998",Gonzaga,hachiru01
21,Tyrese Haliburton,2021,2024,G,6-5,185,"February 29, 2000",Iowa State,halibty01
50,R.J. Hampton,2021,2024,G,6-4,175,"February 7, 2001",,hamptrj01
70,Tim Hardaway Jr.,2014,2024,G,6-5,205,"March 16, 1992",Michigan,hardati02
71,James Harden,2010,2024,G,6-5,220,"August 26, 1989",Arizona State,hardeja01
76,Jaden Hardy,2023,2024,G,6-4,198,"July 5, 2002",,hardyja02
89,Ron Harper Jr.,2023,2024,G-F,6-6,245,"April 12, 2000",Rutgers University,harpero02
104,Gary Harris,2015,2024,G,6-4,210,"September 14, 1994",Michigan State,harriga01
106,Joe Harris,2015,2024,G,6-6,220,"September 6, 1991",Virginia,harrijo01
107,Kevon Harris,2023,2024,G,6-5,216,"June 24, 1997",Stephen F. Austin,harrike01
113,Tobias Harris,2012,2024,F,6-8,226,"July 15, 1992",Tennessee,harrito02
119,Shaquille Harrison,2018,2024,G,6-4,190,"October 6, 1993",Tulsa,harrish01
121,Josh Hart,2018,2024,G,6-4,215,"March 6, 1995",Villanova,hartjo01
122,Isaiah Hartenstein,2019,2024,F,7-0,250,"May 5, 1998",,harteis01
134,Sam Hauser,2022,2024,F,6-8,215,"December 8, 1997","Marquette, Virginia",hausesa01
141,Jordan Hawkins,2024,2024,G,6-5,195,"April 29, 2002",UConn,hawkijo01
150,Jaxson Hayes,2020,2024,F,7-0,220,"May 23, 2000",Texas,hayesja02
152,Killian Hayes,2021,2024,G,6-5,195,"July 27, 2001",,hayeski01
155,Gordon Hayward,2011,2024,F-G,6-7,225,"March 23, 1990",Butler,haywago01
179,Scoot Henderson,2024,2024,G,6-3,202,"February 3, 2004",,hendesc01
181,Taylor Hendricks,2024,2024,G,6-9,210,"November 22, 2003",Central Florida,hendrta01
204,Tyler Herro,2020,2024,G,6-5,195,"January 20, 2000",Kentucky,herroty01
219,Buddy Hield,2017,2024,G-F,6-4,220,"December 17, 1992",Oklahoma,hieldbu01
228,Haywood Highsmith,2019,2024,F,6-7,220,"December 9, 1996",Wheeling University,highsha01
248,Nate Hinton,2021,2024,G,6-5,210,"June 8, 1999",Houston,hintona01
254,D'Moi Hodge,2024,2024,G,6-4,188,"December 20, 1998","State College of Florida, Manatee-Sarasota, Cleveland State University, Missouri",hodgedm01
265,Aaron Holiday,2019,2024,G,6-0,185,"September 30, 1996",UCLA,holidaa01
266,Jrue Holiday,2010,2024,G,6-4,205,"June 12, 1990",UCLA,holidjr01
267,Justin Holiday,2013,2024,F,6-6,180,"April 5, 1989",Washington,holidju01
277,Richaun Holmes,2016,2024,C-F,6-10,235,"October 15, 1993",Bowling Green,holmeri01
278,Chet Holmgren,2024,2024,F-C,7-1,195,"May 1, 2002",Gonzaga,holmgch01
289,Jalen Hood-Schifino,2024,2024,G,6-6,215,"June 19, 2003",Indiana,hood-ja01
299,Al Horford,2008,2024,C-F,6-9,240,"June 3, 1986",Florida,horfoal01
306,Talen Horton-Tucker,2020,2024,G-F,6-4,234,"November 25, 2000",Iowa State,hortota01
309,Danuel House Jr.,2017,2024,G,6-6,220,"June 7, 1993",Texas A&M,houseda01
311,Caleb Houstan,2023,2024,G-F,6-8,205,"January 9, 2003",Michigan,houstca01
318,Jett Howard,2024,2024,G,6-8,215,"September 14, 2003",Michigan,howarje01
334,Kevin Huerter,2019,2024,G,6-7,190,"August 27, 1998",Maryland,huertke01
336,Jay Huff,2022,2024,F-C,7-1,240,"August 25, 1998",Virginia,huffja01
355,De'Andre Hunter,2020,2024,F,6-8,225,"December 2, 1997",Virginia,huntede01
364,Matthew Hurt,2024,2024,F,6-9,235,"April 20, 2000",Duke,hurtma01
371,Bones Hyland,2022,2024,G,6-2,173,"September 14, 2000",VCU,hylanbo01
