,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,player_id
4,Andre Jackson Jr.,2024,2024,G,6-6,210,"November 13, 2001",UConn,jacksan01
11,Gregory Jackson II,2024,2024,F,6-9,215,"December 17, 2004",South Carolina,jacksgr02
12,Isaiah Jackson,2022,2024,C-F,6-10,206,"January 10, 2002",Kentucky,jacksis01
14,Jaren Jackson Jr.,2019,2024,F,6-10,242,"September 15, 1999",Michigan State,jacksja02
32,Reggie Jackson,2012,2024,G,6-2,208,"April 16, 1990",Boston College,jacksre01
39,Trayce Jackson-Davis,2024,2024,F,6-9,245,"February 22, 2000",Indiana,jackstr02
52,LeBron James,2004,2024,F-G,6-9,250,"December 30, 1984",,jamesle01
60,Jaime Jaquez Jr.,2024,2024,G-F,6-6,225,"February 18, 2001",UCLA,jaqueja01
76,DaQuan Jeffries,2020,2024,G-F,6-5,230,"August 30, 1997","Oral Roberts, Tulsa",jeffrda01
78,Trey Jemison,2024,2024,C,6-11,260,"November 28, 1999","Clemson, UAB",jemistr01
87,Ty Jerome,2020,2024,G,6-5,195,"July 8, 1997",Virginia,jeromty01
92,Isaiah Joe,2021,2024,G,6-4,165,"July 2, 1999",Arkansas,joeis01
105,Cameron Johnson,2020,2024,F,6-8,210,"March 3, 1996","Pitt, UNC",johnsca02
133,Jalen Johnson,2022,2024,F,6-9,220,"December 18, 2001",Duke,johnsja03
134,James Johnson,2010,2024,F,6-7,240,"February 20, 1987",Wake Forest,johnsja01
138,Keldon Johnson,2020,2024,G,6-5,220,"October 11, 1999",Kentucky,johnske04
141,Keon Johnson,2022,2024,G,6-5,186,"March 10, 2002",Tennessee,johnske05
143,Keyontae Johnson,2024,2024,F,6-5,230,"May 24, 2000","Florida, Kansas State",johnske06
172,Nikola Jokić,2016,2024,C-F,6-11,284,"February 19, 1995",,jokini01
185,Colby Jones,2024,2024,G,6-6,205,"May 28, 2002",Xavier,jonesco02
188,Damian Jones,2017,2024,F-C,6-11,245,"June 30, 1995",Vanderbilt,jonesda03
191,Derrick Jones Jr.,2017,2024,F,6-5,210,"February 15, 1997",UNLV,jonesde02
200,Herbert Jones,2022,2024,F,6-8,210,"October 6, 1998",Alabama,joneshe01
228,Tre Jones,2021,2024,G,6-1,185,"January 8, 2000",Duke,jonestr01
229,Tyus Jones,2016,2024,G,6-1,196,"May 10, 1996",Duke,jonesty01
236,DeAndre Jordan,2009,2024,C,6-11,265,"July 21, 1988",Texas A&M,jordade01
247,Cory Joseph,2012,2024,G,6-2,200,"August 20, 1991",Texas,josepco01
251,Nikola Jović,2023,2024,G-F,6-10,209,"June 9, 2003",,jovini01
255,Johnny Juzang,2023,2024,G,6-7,215,"March 17, 2001","Kentucky, UCLA",juzanjo01
