,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,player_id
39,Luke Kennard,2018,2024,G,6-5,206,"June 24, 1996",Duke,kennalu01
53,Walker Kessler,2023,2024,C,7-0,245,"July 26, 2001","UNC, Auburn",kesslwa01
55,Braxton Key,2022,2024,F,6-8,230,"February 14, 1997","Alabama, Virginia",keybr01
96,Corey Kispert,2022,2024,G-F,6-7,220,"March 3, 1999",Gonzaga,kispeco01
102,Maxi Kleber,2018,2024,F,6-10,240,"January 29, 1992",,klebima01
122,Kevin Knox,2019,2024,F,6-7,215,"August 11, 1999",Kentucky,knoxke01
129,John Konchar,2020,2024,G,6-5,210,"March 22, 1996",Purdue-Fort Wayne,konchjo01
133,Furkan Korkmaz,2018,2024,G,6-7,202,"July 24, 1997",,korkmfu01
135,Luke Kornet,2018,2024,C-F,7-2,250,"July 15, 1995",Vanderbilt,kornelu01
167,Jonathan Kuminga,2022,2024,F,6-8,210,"October 6, 2002",,kuminjo01
175,Kyle Kuzma,2018,2024,F,6-9,221,"July 24, 1995",Utah,kuzmaky01
