,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,player_id
3,Jake LaRavia,2023,2024,F,6-8,235.0,"November 3, 2001","Indiana State University, Wake Forest",laravja01
6,Zach LaVine,2015,2024,G-F,6-5,200.0,"March 10, 1995",UCLA,lavinza01
26,Jock Landale,2022,2024,C,6-11,256.0,"October 25, 1995",Saint Mary's,landajo01
57,A.J. Lawson,2023,2024,G,6-6,179.0,"July 15, 2000",South Carolina,lawsoaj01
62,Caris LeVert,2017,2024,G-F,6-6,205.0,"August 25, 1994",Michigan,leverca01
87,Saben Lee,2021,2024,G,6-2,183.0,"June 23, 1999",Vanderbilt,leesa01
94,Alex Len,2014,2024,C,7-0,250.0,"June 16, 1993",Maryland,lenal01
98,Kawhi Leonard,2012,2024,F,6-7,225.0,"June 29, 1991",San Diego State,leonaka01
114,Kira Lewis Jr.,2021,2024,G,6-1,170.0,"April 6, 2001",Alabama,lewiski01
116,Maxwell Lewis,2024,2024,F,6-7,195.0,"July 27, 2002",Pepperdine,lewisma02
125,E.J. Liddell,2024,2024,F,6-7,240.0,"December 18, 2000",Ohio State,liddeej01
129,Damian Lillard,2013,2024,G,6-2,195.0,"July 15, 1990",Weber State,lillada01
133,Nassir Little,2020,2024,F,6-5,220.0,"February 11, 2000",UNC,littlna01
136,Dereck Lively II,2024,2024,C,7-1,230.0,"February 12, 2004",Duke,livelde01
137,Isaiah Livers,2022,2024,F,6-7,230.0,"July 28, 1998",Michigan,liveris01
138,Chris Livingston,2024,2024,F,6-6,220.0,"October 15, 2003",Kentucky,livinch01
155,Kenneth Lofton Jr.,2023,2024,F,6-7,275.0,"August 14, 2002",Louisiana Tech,loftoke01
167,Kevon Looney,2016,2024,F-C,6-9,222.0,"February 6, 1996",UCLA,looneke01
168,Brook Lopez,2009,2024,C,7-1,282.0,"April 1, 1988",Stanford,lopezbr01
171,Robin Lopez,2009,2024,C,7-1,281.0,"April 1, 1988",Stanford,lopezro01
178,Kevin Love,2009,2024,F-C,6-8,251.0,"September 7, 1988",UCLA,loveke01
183,Kyle Lowry,2007,2024,G,6-0,196.0,"March 25, 1986",Villanova,lowryky01
198,Seth Lundy,2024,2024,G-F,6-6,220.0,"April 2, 2000",Penn State,lundyse01
201,Trey Lyles,2016,2024,F,6-9,234.0,"November 5, 1995",Kentucky,lylestr01
