,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,player_id
39,Théo Maledon,2021,2024,G,6-4,175.0,"June 12, 2001",,maledth01
46,Sandro Mamukelashvili,2022,2024,C-F,6-11,240.0,"May 23, 1999",Seton Hall,mamuksa01
51,Terance Mann,2020,2024,G-F,6-5,215.0,"October 18, 1996",Florida State,mannte01
52,Tre Mann,2022,2024,G,6-3,178.0,"February 3, 2001",Florida,manntr01
69,Boban Marjanović,2016,2024,C,7-4,290.0,"August 15, 1988",,marjabo01
70,Lauri Markkanen,2018,2024,F-C,7-0,240.0,"May 22, 1997",Arizona,markkla01
79,Naji Marshall,2021,2024,F,6-7,220.0,"January 24, 1998",Xavier,marshna01
86,Caleb Martin,2020,2024,F,6-5,205.0,"September 28, 1995","NC State, Nevada",martica02
88,Cody Martin,2020,2024,G-F,6-5,205.0,"September 28, 1995","NC State, Nevada",martico01
100,KJ Martin,2021,2024,F,6-6,215.0,"January 6, 2001",,martikj01
116,Garrison Mathews,2020,2024,G,6-5,215.0,"October 24, 1996",Lipscomb,mathega01
120,Bennedict Mathurin,2023,2024,G-F,6-6,210.0,"June 19, 2002",Arizona,mathube01
122,Wesley Matthews,2010,2024,G,6-5,220.0,"October 14, 1986",Marquette,matthwe02
125,Tyrese Maxey,2021,2024,G,6-2,200.0,"November 4, 2000",Kentucky,maxeyty01
139,Skylar Mays,2021,2024,G,6-4,205.0,"September 5, 1997",LSU,mayssk01
146,Miles McBride,2022,2024,G,6-2,200.0,"September 8, 2000",West Virginia,mcbrimi01
168,CJ McCollum,2014,2024,G,6-3,190.0,"September 19, 1991",Lehigh,mccolcj01
171,T.J. McConnell,2016,2024,G,6-1,190.0,"March 25, 1992","Duquesne, Arizona",mccontj01
184,Jaden McDaniels,2021,2024,F,6-9,185.0,"September 29, 2000",Washington,mcdanja02
185,Jalen McDaniels,2020,2024,F,6-9,205.0,"January 31, 1998",San Diego State,mcdanja01
188,Doug McDermott,2015,2024,F,6-6,225.0,"January 3, 1992",Creighton,mcderdo01
201,JaVale McGee,2009,2024,C,7-0,270.0,"January 19, 1988",Nevada,mcgeeja01
206,Bryce McGowens,2023,2024,G-F,6-7,179.0,"November 8, 2002",Nebraska,mcgowbr01
234,Jordan McLaughlin,2020,2024,G,6-0,185.0,"April 9, 1996",USC,mclaujo01
276,De'Anthony Melton,2019,2024,G,6-2,200.0,"May 28, 1998",USC,meltode01
282,Nathan Mensah,2024,2024,F,6-8,230.0,"April 9, 1998",San Diego State,mensana01
288,Sam Merrill,2021,2024,G,6-4,205.0,"May 15, 1996",Utah State University,merrisa01
290,Chimezie Metu,2019,2024,F-C,6-9,225.0,"March 22, 1997",USC,metuch01
296,Vasilije Micić,2024,2024,G,6-5,200.0,"January 13, 1994",,miciva01
298,Khris Middleton,2013,2024,F-G,6-7,222.0,"August 12, 1991",Texas A&M,middlkh01
319,Brandon Miller,2024,2024,F-G,6-9,201.0,"November 22, 2002",Alabama,millebr02
325,Jordan Miller,2024,2024,G,6-7,195.0,"January 23, 2000","George Mason, Miami (FL)",millejo01
327,Leonard Miller,2024,2024,F,6-10,210.0,"November 26, 2003",,millele01
334,Dariq Whitehead,2024,2024,F,6-7,220.0,"August 1, 2004",Duke,whiteda01
337,Patty Mills,2010,2024,G,6-2,180.0,"August 11, 1988",Saint Mary's,millspa02
341,Shake Milton,2019,2024,G,6-5,205.0,"September 26, 1996",SMU,miltosh01
342,Justin Minaya,2023,2024,F,6-5,210.0,"March 26, 1999",,minayju01
349,Josh Minott,2023,2024,F,6-8,205.0,"November 25, 2002",Memphis,minotjo01
353,Davion Mitchell,2022,2024,G,6-2,205.0,"September 5, 1998","Auburn, Baylor",mitchda01
354,Donovan Mitchell,2018,2024,G,6-3,215.0,"September 7, 1996",Louisville,mitchdo01
367,Evan Mobley,2022,2024,F-C,6-11,215.0,"June 18, 2001",USC,mobleev01
368,Isaiah Mobley,2023,2024,F,6-8,240.0,"September 24, 1999",USC,mobleis01
382,Malik Monk,2018,2024,G,6-3,200.0,"February 4, 1998",Kentucky,monkma01
389,Moses Moody,2022,2024,G,6-6,205.0,"May 31, 2002",Arkansas,moodymo01
391,Xavier Moon,2022,2024,G,6-2,165.0,"January 2, 1995","Northwest Florida State College, Morehead State University",moonxa01
406,Taze Moore,2024,2024,G,6-5,195.0,"June 29, 1998","Cal State-Bakersfield, Houston",mooreta01
408,Wendell Moore Jr.,2023,2024,G-F,6-5,213.0,"September 18, 2001",Duke,moorewe01
409,Ja Morant,2020,2024,G,6-2,174.0,"August 10, 1999",Murray State,moranja01
421,Marcus Morris,2012,2024,F,6-8,218.0,"September 2, 1989",Kansas,morrima02
422,Markieff Morris,2012,2024,F,6-9,245.0,"September 2, 1989",Kansas,morrima03
424,Monte Morris,2018,2024,G,6-2,183.0,"June 27, 1995",Iowa State,morrimo01
471,Trey Murphy III,2022,2024,F,6-8,206.0,"June 18, 2000","Rice University, Virginia",murphtr02
473,Dejounte Murray,2017,2024,G,6-5,180.0,"September 19, 1996",Washington,murrade01
474,Jamal Murray,2017,2024,G,6-4,215.0,"February 23, 1997",Kentucky,murraja01
475,Keegan Murray,2023,2024,F,6-8,215.0,"August 19, 2000",Iowa,murrake02
477,Kris Murray,2024,2024,F,6-8,220.0,"August 19, 2000",Iowa,murrakr01
485,Mike Muscala,2014,2024,F-C,6-10,240.0,"July 1, 1991",Bucknell,muscami01
491,Svi Mykhailiuk,2019,2024,G-F,6-7,205.0,"June 10, 1997",Kansas,mykhasv01
