,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,player_id
13,Larry Nance Jr.,2016,2024,F-C,6-8,245.0,"January 1, 1993",Wyoming,nancela02
14,Pete Nance,2024,2024,F,6-11,230.0,"February 19, 2000","Northwestern, UNC",nancepe01
40,Andrew Nembhard,2023,2024,G,6-5,193.0,"January 16, 2000","Florida, Gonzaga",nembhan01
45,Aaron Nesmith,2021,2024,G-F,6-5,215.0,"October 16, 1999",Vanderbilt,nesmiaa01
61,Georges Niang,2017,2024,F,6-7,230.0,"June 17, 1993",Iowa State,niangge01
71,Daishen Nix,2022,2024,G,6-5,224.0,"February 13, 2002",,nixda01
74,Zeke Nnaji,2021,2024,F,6-9,240.0,"January 9, 2001",Arizona,nnajize01
98,Jaylen Nowell,2020,2024,G,6-4,201.0,"July 9, 1999",Washington,nowelja01
99,Markquis Nowell,2024,2024,G,5-8,160.0,"December 25, 1999","Little Rock, Kansas State",nowelma01
102,Frank Ntilikina,2018,2024,G,6-4,200.0,"July 28, 1998",,ntilifr01
105,Jusuf Nurkić,2015,2024,C,7-0,290.0,"August 23, 1994",,nurkiju01
108,Jordan Nwora,2021,2024,F,6-8,225.0,"September 9, 1998",Louisville,nworajo01
