,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,player_id
57,Chris Paul,2006,2024,G,6-0,175,"May 6, 1985",Wake Forest,paulch01
67,Cameron Payne,2016,2024,G,6-3,183,"August 8, 1994",Murray State,payneca01
72,Gary Payton II,2017,2024,G,6-2,190,"December 1, 1992",Oregon State,paytoga02
108,Drew Peterson,2024,2024,G,6-9,205,"November 9, 1999","Rice University, USC",peterdr01
115,Filip Petrušev,2024,2024,F-C,6-11,234,"April 15, 2000",Gonzaga,petrufi01
128,Julian Phillips,2024,2024,F,6-8,198,"November 5, 2003",Tennessee,phillju01
132,Jalen Pickett,2024,2024,G,6-4,209,"October 22, 1999","Siena College, Penn State",pickeja02
146,Scotty Pippen Jr.,2023,2024,G,6-1,185,"November 10, 2000",Vanderbilt,pippesc02
152,Mason Plumlee,2014,2024,C-F,6-10,254,"March 5, 1990",Duke,plumlma01
156,Brandin Podziemski,2024,2024,G,6-5,205,"February 25, 2003","Illinois, Santa Clara",podzibr01
157,Jakob Poeltl,2017,2024,C,7-0,245,"October 15, 1995",Utah,poeltja01
159,Aleksej Pokusevski,2021,2024,F,7-0,190,"December 26, 2001",,pokusal01
169,Jordan Poole,2020,2024,G,6-4,194,"June 19, 1999",Michigan,poolejo01
175,Craig Porter Jr.,2024,2024,G,6-2,186,"February 26, 2000","Vincennes University, Wichita State",portecr01
177,Jontay Porter,2021,2024,F-C,6-11,240,"November 15, 1999",Missouri,portejo01
180,Michael Porter Jr.,2020,2024,F,6-10,218,"June 29, 1998",Missouri,portemi01
181,Otto Porter Jr.,2014,2024,F,6-8,198,"June 3, 1993",Georgetown,porteot01
184,Bobby Portis,2016,2024,F,6-10,250,"February 10, 1995",Arkansas,portibo01
186,Kristaps Porziņģis,2016,2024,F-C,7-2,240,"August 2, 1995",,porzikr01
191,Micah Potter,2022,2024,C,6-10,248,"April 6, 1998","Ohio State, Wisconsin",pottemi01
194,Dwight Powell,2015,2024,F-C,6-10,240,"July 20, 1991",Stanford,poweldw01
198,Norman Powell,2016,2024,G,6-3,215,"May 25, 1993",UCLA,powelno01
218,Joshua Primo,2022,2024,G,6-6,190,"December 24, 2002",Alabama,primojo01
219,Taurean Prince,2017,2024,F,6-6,218,"March 22, 1994",Baylor,princta02
223,Payton Pritchard,2021,2024,G,6-1,195,"January 28, 1998",Oregon,pritcpa01
225,Olivier-Maxence Prosper,2024,2024,F,6-8,230,"July 3, 2002","Clemson, Marquette",prospol01
