,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,player_id
24,Julius Randle,2015,2024,F-C,6-8,250,"November 29, 1994",Kentucky,randlju01
48,Duop Reath,2024,2024,C,6-11,245,"June 26, 1996","Lee College, LSU",reathdu01
49,Austin Reaves,2022,2024,G,6-5,206,"May 29, 1998","Wichita State, Oklahoma",reaveau01
55,Cam Reddish,2020,2024,F,6-8,218,"September 1, 1999",Duke,reddica01
62,Paul Reed,2021,2024,F,6-9,210,"June 14, 1999",DePaul,reedpa01
74,Naz Reid,2020,2024,F,6-9,264,"August 26, 1999",LSU,reidna01
90,Jared Rhoden,2023,2024,G,6-6,210,"August 27, 1999",Seton Hall,rhodeja01
96,Nick Richards,2021,2024,F-C,7-0,245,"November 29, 1997",Kentucky,richani01
100,Josh Richardson,2016,2024,G,6-5,200,"September 15, 1993",Tennessee,richajo01
155,Duncan Robinson,2019,2024,G-F,6-7,215,"April 22, 1994","Williams, Michigan",robindu01
163,Jerome Robinson,2019,2024,G,6-4,190,"February 22, 1997",Boston College,robinje01
166,Mitchell Robinson,2019,2024,C,7-0,240,"April 1, 1998",Western Kentucky,robinmi01
169,Orlando Robinson,2023,2024,F,7-0,235,"July 10, 2000",Fresno State,robinor01
177,Jeremiah Robinson-Earl,2022,2024,F,6-9,230,"November 3, 2000",Villanova,robinje02
185,David Roddy,2023,2024,F,6-4,255,"March 27, 2001",Colorado State,roddyda01
201,Ryan Rollins,2023,2024,G,6-4,180,"July 3, 2002",Toledo,rolliry01
207,Derrick Rose,2009,2024,G,6-3,200,"October 4, 1988",Memphis,rosede01
233,Terry Rozier,2016,2024,G,6-1,190,"March 17, 1994",Louisville,roziete01
247,Rayan Rupert,2024,2024,G,6-6,205,"May 31, 2004",,ruperra01
255,D'Angelo Russell,2016,2024,G,6-3,193,"February 23, 1996",Ohio State,russeda01
261,Matt Ryan,2022,2024,F,6-6,215,"April 17, 1997","Notre Dame, Vanderbilt, Chattanooga",ryanma01
