,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,player_id
1,Domantas Sabonis,2017,2024,C-F,6-10,240,"May 3, 1996",Gonzaga,sabondo01
10,Luka Šamanić,2020,2024,F,6-10,227,"January 9, 2000",,amanilu01
16,Jermaine Samuels,2024,2024,F,6-7,230,"November 13, 1998",Villanova,samueje01
27,Adama Sanogo,2024,2024,F,6-9,245,"February 12, 2002",UConn,sanogad01
30,Gui Santos,2024,2024,F,6-8,209,"June 22, 2002",,santogu01
32,Dario Šarić,2017,2024,F-C,6-10,225,"April 8, 1994",,arida01
33,Olivier Sarr,2022,2024,C,7-0,237,"February 20, 1999","Wake Forest, Kentucky",sarrol01
36,Marcus Sasser,2024,2024,G,6-2,195,"September 21, 2000",Houston,sassema01
71,Admiral Schofield,2020,2024,G-F,6-5,241,"March 30, 1997",Tennessee,schofad01
75,Dennis Schröder,2014,2024,G,6-1,172,"September 15, 1993",,schrdde01
96,Dereon Seabron,2023,2024,G,6-7,180,"May 26, 2000",NC State,seabrde01
116,Alperen Şengün,2022,2024,C-F,6-11,235,"July 25, 2002",,engnal01
117,Brice Sensabaugh,2024,2024,F,6-6,235,"October 30, 2003",Ohio State,sensabr01
123,Collin Sexton,2019,2024,G,6-3,190,"January 4, 1999",Alabama,sextoco01
131,Landry Shamet,2019,2024,G,6-4,190,"March 13, 1997",Wichita State,shamela01
137,Day'Ron Sharpe,2022,2024,C,6-11,265,"November 6, 2001",UNC,sharpda01
138,Shaedon Sharpe,2023,2024,G,6-6,200,"May 30, 2003",Kentucky,sharpsh01
151,Ben Sheppard,2024,2024,G,6-6,190,"July 16, 2001",Belmont,sheppbe01
165,Pascal Siakam,2017,2024,F-C,6-8,230,"April 2, 1994",New Mexico State,siakapa01
181,Ben Simmons,2018,2024,G-F,6-10,240,"July 20, 1996",LSU,simmobe01
193,Anfernee Simons,2019,2024,G,6-3,181,"June 8, 1999",,simonan01
202,Jericho Sims,2022,2024,F,6-10,245,"October 20, 1998",Texas,simsje01
213,Dmytro Skapintsev,2024,2024,C,7-1,260,"May 12, 1998",Cal State Northridge,skapidm01
223,Jalen Slawson,2024,2024,F,6-7,215,"October 22, 1999",Furman University,slawsja01
230,Javonte Smart,2022,2024,G,6-4,205,"June 3, 1999",LSU,smartja01
232,Marcus Smart,2015,2024,G,6-3,220,"March 6, 1994",Oklahoma State,smartma01
248,Dennis Smith Jr.,2018,2024,G,6-2,205,"November 25, 1997",NC State,smithde03
254,Dru Smith,2023,2024,G,6-3,203,"December 30, 1997","University of Evansville, Missouri",smithdr01
260,Ish Smith,2011,2024,G,6-0,175,"July 5, 1988",Wake Forest,smithis01
263,Jabari Smith Jr.,2023,2024,F,6-11,220,"May 13, 2003",Auburn,smithja04
264,Jalen Smith,2021,2024,F,6-10,215,"March 16, 2000",Maryland,smithja03
280,Nick Smith Jr.,2024,2024,G,6-5,185,"April 18, 2004",Arkansas,smithni01
294,Terquavion Smith,2024,2024,G,6-4,165,"December 31, 2002",NC State,smithte01
311,Jeremy Sochan,2023,2024,F-G,6-8,230,"May 20, 2003",Baylor,sochaje01
342,Jaden Springer,2022,2024,G,6-4,204,"September 25, 2002",Tennessee,sprinja01
369,Lamar Stevens,2021,2024,F,6-6,230,"July 9, 1997",Penn State,stevela01
373,Isaiah Stewart,2021,2024,F-C,6-8,250,"May 22, 2001",Washington,stewais01
403,Julian Strawther,2024,2024,F,6-7,205,"April 18, 2002",Gonzaga,strawju01
414,Max Strus,2020,2024,G,6-5,215,"March 28, 1996","Lewis (IL), DePaul",strusma01
418,Jalen Suggs,2022,2024,G,6-5,205,"June 3, 2001",Gonzaga,suggsja01
438,Cole Swider,2023,2024,F,6-9,220,"May 8, 1999","Villanova, Syracuse",swideco01
