,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,player_id
7,Jae'Sean Tate,2021,2024,F,6-4,230,"October 28, 1995",Ohio State,tateja01
9,Jayson Tatum,2018,2024,F,6-8,210,"March 3, 1998",Duke,tatumja01
27,Terry Taylor,2022,2024,G-F,6-5,230,"September 23, 1999",Austin Peay State University,taylote01
36,Garrett Temple,2010,2024,G,6-5,195,"May 8, 1986",LSU,templga01
43,Dalen Terry,2023,2024,G,6-7,195,"July 12, 2002",Arizona,terryda01
51,Daniel Theis,2018,2024,C,6-8,245,"April 4, 1992",,theisda01
60,Cam Thomas,2022,2024,G,6-4,210,"October 13, 2001",LSU,thomaca02
84,Amen Thompson,2024,2024,G,6-7,209,"January 30, 2003",,thompam01
85,Ausar Thompson,2024,2024,G,6-7,215,"January 30, 2003",,thompau01
98,Klay Thompson,2012,2024,G-F,6-6,215,"February 8, 1990",Washington State,thompkl01
104,Tristan Thompson,2012,2024,F-C,6-9,254,"March 13, 1991",Texas,thomptr02
105,JT Thor,2022,2024,F,6-10,205,"August 26, 2002",Auburn,thorjt01
117,Matisse Thybulle,2020,2024,G,6-5,201,"March 4, 1997",Washington,thybuma01
122,Xavier Tillman Sr.,2021,2024,F,6-8,245,"January 12, 1999",Michigan State,tillmxa01
141,Jacob Toppin,2024,2024,F,6-9,205,"May 8, 2000","Rhode Island, Kentucky",toppija01
142,Obi Toppin,2021,2024,F,6-9,220,"March 4, 1998",Dayton,toppiob01
146,Juan Toscano-Anderson,2020,2024,F,6-6,209,"April 10, 1993",Marquette,toscaju01
154,Karl-Anthony Towns,2016,2024,C-F,7-0,248,"November 15, 1995",Kentucky,townska01
160,Gary Trent Jr.,2019,2024,G,6-5,209,"January 18, 1999",Duke,trentga02
170,Oscar Tshiebwe,2024,2024,F,6-9,260,"November 27, 1999","West Virginia, Kentucky",tshieos01
177,P.J. Tucker,2007,2024,F,6-5,245,"May 5, 1985",Texas,tuckepj01
194,Myles Turner,2016,2024,C-F,6-11,250,"March 24, 1996",Texas,turnemy01
203,Hunter Tyson,2024,2024,F,6-8,215,"June 13, 2000",Clemson,tysonhu01
