,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,player_id
0,Dean Wade,2020,2024,F,6-9,228.0,"November 20, 1996",Kansas State,wadede01
7,Franz Wagner,2022,2024,G-F,6-10,225.0,"August 27, 2001",Michigan,wagnefr01
9,Moritz Wagner,2019,2024,F-C,6-11,245.0,"April 26, 1997",Michigan,wagnemo01
11,Ish Wainright,2022,2024,F,6-6,250.0,"September 12, 1994",Baylor,wainris01
24,Jabari Walker,2023,2024,F,6-9,215.0,"July 30, 2002",Colorado,walkeja01
25,Jarace Walker,2024,2024,F,6-8,240.0,"September 4, 2003",Houston,walkeja02
29,Lonnie Walker IV,2019,2024,G,6-4,204.0,"December 14, 1998",Miami (FL),walkelo01
36,Cason Wallace,2024,2024,G,6-4,193.0,"November 7, 2003",Kentucky,wallaca01
45,Jordan Walsh,2024,2024,G-F,6-7,205.0,"March 3, 2004",Arkansas,walshjo01
82,P.J. Washington,2020,2024,F,6-7,230.0,"August 23, 1998",Kentucky,washipj01
87,TyTy Washington Jr.,2023,2024,G,6-3,197.0,"November 15, 2001",Kentucky,washity01
89,Yuta Watanabe,2019,2024,F,6-9,215.0,"October 13, 1994",George Washington,watanyu01
90,Lindy Waters III,2022,2024,G,6-6,215.0,"July 28, 1997",Oklahoma State,waterli01
92,Trendon Watford,2022,2024,F,6-9,240.0,"November 9, 2000",LSU,watfotr01
99,Peyton Watson,2023,2024,G-F,6-8,200.0,"September 11, 2002",UCLA,watsope01
134,Victor Wembanyama,2024,2024,C-F,7-4,209.0,"January 4, 2004",,wembavi01
139,Blake Wesley,2023,2024,G,6-5,185.0,"March 16, 2003",Notre Dame,weslebl01
150,Russell Westbrook,2009,2024,G,6-4,200.0,"November 12, 1988",UCLA,westbru01
160,Coby White,2020,2024,G,6-5,195.0,"February 16, 2000",UNC,whiteco01
162,Derrick White,2018,2024,G,6-4,190.0,"July 2, 1994","Colorado-Colorado Springs, Colorado",whitede01
183,Cam Whitmore,2024,2024,F,6-7,232.0,"July 8, 2004",Villanova,whitmca01
194,Aaron Wiggins,2022,2024,G,6-6,200.0,"January 2, 1999",Maryland,wiggiaa01
195,Andrew Wiggins,2015,2024,F-G,6-7,197.0,"February 23, 1995",Kansas,wiggian01
197,Lindell Wigginton,2022,2024,G,6-2,189.0,"March 28, 1998",Iowa State,wiggili01
227,Brandon Williams,2022,2024,G,6-2,190.0,"November 22, 1999",Arizona,willibr02
246,Grant Williams,2020,2024,F,6-6,236.0,"November 30, 1998",Tennessee,willigr01
252,Jalen Williams,2023,2024,G,6-5,195.0,"April 14, 2001",Santa Clara,willija05
256,Jaylin Williams,2023,2024,F,6-9,240.0,"June 29, 2002",Arkansas,willija06
258,Jeenathan Williams,2023,2024,G,6-5,205.0,"February 12, 1999",Buffalo,willije02
265,Kenrich Williams,2019,2024,G-F,6-6,210.0,"December 2, 1994",TCU,willike04
271,Mark Williams,2023,2024,C,7-0,241.0,"December 16, 2001",Duke,willima05
280,Patrick Williams,2021,2024,F,6-7,215.0,"August 26, 2001",Florida State,willipa01
287,Robert Williams,2019,2024,C-F,6-9,237.0,"October 17, 1997",Texas A&M,williro03
300,Vince Williams Jr.,2023,2024,F,6-4,205.0,"August 30, 2000",VCU,willivi01
304,Ziaire Williams,2022,2024,F,6-9,215.0,"September 12, 2001",Stanford,willizi02
308,Zion Williamson,2020,2024,F-C,6-6,284.0,"July 6, 2000",Duke,willizi01
320,Jalen Wilson,2024,2024,F,6-8,225.0,"November 4, 2000",Kansas,wilsoja03
334,Dylan Windler,2021,2024,G-F,6-6,196.0,"September 22, 1996",Belmont,windldy01
349,James Wiseman,2021,2024,C,7-0,240.0,"March 31, 2001",Memphis,wisemja01
361,Christian Wood,2016,2024,F,6-8,214.0,"September 27, 1995",UNLV,woodch01
386,Delon Wright,2016,2024,G,6-5,185.0,"April 26, 1992",Utah,wrighde01
